Genre,Drama,Other,Family,Fiction,Action_Adventure,Horror,total
technology,1,2,1,11,1,0,16
order,2,3,3,3,3,1,15
breaking,2,4,3,3,1,2,15
ancient,1,6,2,2,3,1,15
shape_and_size,1,7,3,2,0,1,14
appearance,2,5,1,1,1,4,14
sound,2,7,2,1,1,1,14
emotional,3,6,3,0,1,0,13
worship,2,5,2,1,0,3,13
medieval,2,1,4,2,2,2,13
poor,3,4,4,0,2,0,13
dominant_heirarchical,1,4,2,2,1,3,13
leisure,1,6,3,1,1,1,13
office,1,6,2,1,0,3,13
terrorism,2,3,0,7,0,0,12
sleep,2,4,3,1,0,2,12
night,1,5,1,2,1,2,12
phone,1,3,1,4,2,1,12
gain,1,7,1,2,1,0,12
journalism,2,6,1,1,1,0,11
superhero,1,1,2,1,5,1,11
noise,1,5,2,0,2,1,11
eating,2,5,1,1,0,2,11
magic,0,4,0,1,2,4,11
fear,2,3,0,0,1,5,11
religion,2,4,1,0,0,4,11
plant,2,5,1,3,0,0,11
attractive,2,3,3,1,1,1,11
beauty,1,4,3,2,1,0,11
government,1,5,1,2,1,0,10
writing,2,2,2,1,1,2,10
farming,3,6,0,0,1,0,10
philosophy,2,5,1,1,0,1,10
hearing,2,5,2,1,0,0,10
toy,1,2,3,1,1,1,9
pride,1,3,3,1,1,0,9
payment,5,3,1,0,0,0,9
urban,1,3,2,2,0,1,9
tourism,0,5,2,0,1,1,9
independence,2,3,2,2,0,0,9
cooking,1,4,1,1,0,1,8
shame,2,2,3,0,0,1,8
computer,1,1,2,2,2,0,8
horror,1,3,0,0,0,4,8
water,2,1,2,1,1,1,8
swimming,3,1,3,1,0,0,8
deception,2,2,1,0,2,1,8
confusion,0,3,2,0,1,1,7
restaurant,0,3,2,1,1,0,7
negotiate,3,3,0,0,0,1,7
tool,0,2,0,4,0,1,7
shopping,0,2,1,2,1,1,7
anonymity,1,1,2,0,1,2,7
messaging,2,1,0,2,1,0,6
anger,1,2,3,0,0,0,6
politics,0,3,0,1,1,1,6
contentment,1,0,4,0,0,0,5
clothing,0,4,0,1,0,0,5
alcohol,1,3,1,0,0,0,5
cold,0,3,2,0,0,0,5
pet,0,5,0,0,0,0,5
hiking,1,4,0,0,0,0,5
rage,3,1,0,0,0,1,5
fire,0,1,0,2,0,1,4
zest,0,2,1,0,1,0,4
programming,0,1,1,1,1,0,4
cheerfulness,0,3,1,0,0,0,4
exercise,0,3,1,0,0,0,4
weakness,0,2,0,0,1,1,4
nervousness,1,0,3,0,0,0,4
smell,1,2,1,0,0,0,4
fashion,1,2,0,0,0,0,3
dominant_personality,0,1,1,1,0,0,3
neglect,0,1,2,0,0,0,3
irritability,2,1,0,0,0,0,3
morning,0,2,1,0,0,0,3
weather,0,2,1,0,0,0,3
exotic,1,0,2,0,0,0,3
blue_collar_job,1,0,1,0,1,0,3
lust,1,1,1,0,0,0,3
sympathy,0,1,2,0,0,0,3
politeness,1,0,1,0,0,0,2
liquid,1,0,0,1,0,0,2
swearing_terms,0,2,0,0,0,0,2
disgust,1,1,0,0,0,0,2
hipster,0,2,0,0,0,0,2
hygiene,0,1,1,0,0,0,2
timidity,0,1,1,0,0,0,2
ridicule,0,1,0,0,0,1,2
envy,0,2,0,0,0,0,2
furniture,0,1,0,0,0,1,2
warmth,0,0,1,0,0,0,1
joy,0,0,1,0,0,0,1
exasperation,0,1,0,0,0,0,1
ugliness,0,1,0,0,0,0,1
fabric,0,1,0,0,0,0,1
surprise,0,1,0,0,0,0,1
cleaning,0,0,0,1,0,0,1
