Genre,Drama,Other,Family,Fiction,Action_Adventure,Horror,total
child,30,50,46,17,33,35,211
family,31,46,53,16,32,29,207
negative_emotion,29,22,22,21,38,43,175
death,22,23,21,12,26,38,142
home,22,26,27,10,14,28,127
wedding,20,30,27,8,21,16,122
friend,9,30,26,6,11,11,93
kill,10,12,7,12,19,30,90
fight,12,15,7,14,33,9,90
war,19,11,4,20,24,12,90
crime,25,13,8,8,18,17,89
positive_emotion,14,27,26,4,6,4,81
party,10,15,20,9,5,15,74
leader,14,10,9,16,9,8,66
youth,9,24,8,5,9,7,62
traveling,6,14,12,7,12,10,61
business,11,21,8,4,7,5,56
weapon,13,5,0,6,19,11,54
fun,8,26,6,4,1,5,50
violence,6,12,8,5,8,10,49
celebration,7,12,14,1,5,8,47
military,12,5,3,8,14,5,47
giving,8,16,9,5,5,4,47
prison,10,9,1,9,8,8,45
trust,3,14,7,7,8,4,43
love,9,19,12,0,1,1,42
school,5,14,12,6,0,5,42
heroic,7,15,4,7,4,4,41
reading,6,18,7,5,2,3,41
work,10,10,7,4,4,5,40
optimism,8,16,13,2,0,1,40
vehicle,4,3,6,10,12,4,39
suffering,5,10,5,4,5,8,37
college,5,13,9,5,0,5,37
aggression,6,9,3,4,8,6,36
affection,7,15,11,0,1,2,36
ship,6,1,1,12,8,5,33
real_estate,4,13,3,0,7,6,33
help,3,8,9,3,4,6,33
music,6,7,12,4,1,3,33
speaking,4,10,11,3,3,1,32
vacation,3,11,5,1,6,6,32
achievement,8,10,8,3,2,0,31
occupation,8,7,7,2,3,4,31
musical,4,8,11,3,1,4,31
competing,6,6,6,5,7,0,30
domestic_work,5,12,4,0,3,5,29
driving,4,5,5,2,6,5,27
power,3,7,2,9,2,4,27
dance,5,5,8,3,3,2,26
pain,1,10,8,1,2,4,26
stealing,6,8,4,2,4,2,26
monster,1,3,1,9,2,9,25
listen,4,8,7,4,1,1,25
royalty,6,7,4,2,3,3,25
sport,4,8,5,1,5,1,24
body,3,4,2,3,6,6,24
medical_emergency,6,4,5,2,2,5,24
science,3,7,2,11,1,0,24
healing,2,5,4,4,2,7,24
health,6,5,5,0,2,5,23
sailing,4,1,2,9,6,1,23
communication,4,5,6,5,1,2,23
art,4,6,6,3,1,3,23
injury,2,5,3,2,4,7,23
rural,3,13,4,0,1,1,22
meeting,5,6,4,1,3,3,22
divine,3,5,3,3,1,7,22
air_travel,1,8,4,4,3,2,22
money,7,7,4,0,3,1,22
masculine,0,8,5,4,5,0,22
animal,3,3,4,6,4,2,22
feminine,2,8,3,2,1,5,21
banking,8,8,3,0,1,1,21
legend,2,7,3,2,1,6,21
economics,7,8,3,0,1,1,20
white_collar_job,3,7,4,3,1,2,20
movement,1,5,1,8,2,2,19
strength,1,6,4,5,1,1,18
sexual,5,3,2,3,2,3,18
torment,2,4,3,1,0,8,18
ocean,4,0,2,6,3,3,18
sadness,3,7,5,0,2,1,18
valuable,5,6,5,1,1,0,18
social_media,1,11,0,1,3,1,17
beach,5,1,3,4,2,2,17
hate,2,6,3,0,3,3,17
play,3,4,6,2,1,1,17
dispute,2,9,2,1,2,1,17
wealthy,3,8,3,2,1,0,17
law,2,7,4,2,1,0,16
childish,0,7,3,2,1,3,16
car,3,2,3,1,4,3,16
