Genre,Drama,Other,Family,Fiction,Action_Adventure,Horror,total
time,49,26,50,54,44,39,262
life,55,29,45,42,46,31,248
film,43,45,38,37,40,39,242
day,51,27,46,38,37,38,237
man,42,21,39,34,45,33,214
friend,36,19,49,39,36,35,214
father,38,26,52,29,32,34,211
year,47,22,35,41,30,30,205
death,38,16,23,39,35,45,196
love,36,25,52,25,28,17,183
night,28,9,23,35,35,51,181
son,35,24,29,20,44,24,176
family,32,21,36,21,35,29,174
way,27,12,32,35,28,35,169
home,33,18,30,32,28,28,169
house,30,16,31,19,27,42,165
wife,33,18,24,22,31,31,159
story,30,32,34,18,21,20,155
people,25,19,23,30,24,27,148
child,23,15,34,29,19,24,144
mother,22,13,32,25,17,31,140
daughter,30,17,32,14,25,22,140
girl,26,14,29,16,21,21,127
world,25,15,19,38,11,19,127
men,28,5,15,21,40,17,126
woman,23,12,19,18,21,31,124
order,28,5,19,23,33,14,122
attempt,19,7,24,28,22,21,121
body,19,5,9,23,19,43,118
hand,20,9,17,17,26,29,118
place,23,11,20,23,22,16,115
police,28,9,14,17,24,21,113
brother,20,10,20,13,31,19,113
help,15,7,22,21,17,28,110
room,18,3,15,22,13,37,108
city,21,14,14,23,24,12,108
group,19,7,9,25,30,18,108
scene,20,9,20,16,25,14,104
end,15,13,22,23,15,14,102
plan,21,8,14,11,25,21,100
war,23,12,11,15,24,12,97
part,15,8,19,19,20,15,96
town,12,7,11,12,27,25,94
boy,11,12,20,18,12,17,90
head,14,5,17,19,16,19,90
return,13,5,14,24,18,13,87
money,22,14,14,8,23,6,87
morning,21,1,15,18,16,16,87
attack,16,4,7,18,24,15,84
village,15,17,18,3,22,7,82
fire,20,5,6,11,22,17,81
name,15,4,20,11,19,12,81
rest,16,9,8,10,21,16,80
car,14,2,10,20,18,15,79
-,17,4,12,16,15,15,79
power,12,5,10,33,10,9,79
others,12,6,15,20,10,16,79
door,10,3,10,17,6,31,77
movie,15,12,18,7,10,14,76
member,20,6,8,14,15,12,75
sister,10,5,16,7,15,19,72
event,17,3,12,16,9,14,71
one,10,7,7,15,12,19,70
officer,22,4,8,13,20,3,70
doctor,12,7,12,16,4,19,70
gun,17,3,5,10,21,13,69
work,13,8,14,14,9,10,68
school,11,12,16,11,6,11,67
job,16,6,18,11,12,3,66
fight,9,5,13,14,20,5,66
marriage,13,7,27,2,12,5,66
dr.,10,3,4,25,4,20,66
party,15,1,10,14,12,14,66
heart,7,9,15,11,10,13,65
point,14,4,15,12,12,8,65
face,14,2,9,9,10,21,65
leader,14,6,3,10,21,10,64
husband,10,5,17,10,9,13,64
force,12,1,5,12,23,10,63
army,14,5,4,14,21,5,63
state,20,4,14,7,7,10,62
earth,4,4,7,37,6,3,61
battle,8,3,6,8,25,11,61
window,8,1,10,12,6,23,60
hospital,16,1,13,11,7,12,60
situation,14,6,9,10,15,6,60
building,16,4,3,16,10,10,59
relationship,11,6,8,15,10,9,59
arm,8,0,6,10,11,23,58
side,12,6,7,14,15,3,57
murder,15,3,5,4,12,18,57
truth,11,8,16,9,5,8,57
parent,12,7,20,6,3,9,57
person,9,8,11,6,11,11,56
