Movie_name,Release_Date,tconst,nconst,Director_name,capped_profit,Successful,num_movies,Director_age
Ghosts of Mars,2001,tt0228333,nm0000118,John Carpenter,-18703362.23932229,3.9,32,53
White Of The Eye,1987,tt0094320,nm0131910,Donald Cammell,0.0,4.5,5,53
Henry V,1989,tt0097499,nm0000110,Kenneth Branagh,2217322.880186878,5.5,23,29
Baby Boy,2001,tt0255819,nm0005436,John Singleton,11609286.614221303,4.7,19,33
Rudo y Cursi,2008,tt0405393,nm0190860,Carlos Cuarón,11609286.614221303,4.8,11,42
Closing the Ring,2007,tt0488380,nm0000277,Richard Attenborough,-26260578.616129763,4.1,12,84
The Boston Strangler,1968,tt0062755,nm0281507,Richard Fleischer,11609286.614221303,4.9,61,52
The Hero: Love Story of a Spy,2003,tt0347167,nm0788858,Anil Sharma,0.0,4.3,22,48
Raampur Ka Lakshman,1972,tt0214042,nm0220828,Manmohan Desai,0.0,4.5,23,35
Choke Canyon,1986,tt0090836,nm0047094,Charles Bail,0.0,4.3,64,51
Children of Glory,2006,tt0486219,nm0323558,Krisztina Goda,0.0,4.6,6,36
A Zed & Two Noughts,1985,tt0090366,nm0000425,Peter Greenaway,0.0,4.7,74,43
Things to Do in Denver When You're Dead,1995,tt0114660,nm0001219,Gary Fleder,-11605571.239955155,4.4,82,30
Valiant Is the Word for Carrie,1936,tt0028455,nm0749484,Wesley Ruggles,0.0,4.5,80,47
Straw Dogs,1971,tt0067800,nm0001603,Sam Peckinpah,11609286.614221303,5.0,33,46
"Spring, Summer, Fall, Winter... and Spring",2003,tt0374546,nm1104118,Kim Ki-duk,11609286.614221303,5.1,25,43
Vanishing on 7th Street,2010,tt1452628,nm0026442,Brad Anderson,-10856693.211896358,4.0,86,46
Le Grand jeu,1934,tt0025198,nm0275494,Jacques Feyder,0.0,4.7,43,49
What Have I Done To Deserve This?,1984,tt0088461,nm0000264,Pedro Almodóvar,0.0,4.7,43,35
Midnight Express,1978,tt0077928,nm0000570,Alan Parker,11609286.614221303,6.3,20,34
RoboCop 3,1993,tt0107978,nm0215269,Fred Dekker,-18682150.331698872,3.7,7,34
Bleeder,1999,tt0161292,nm0716347,Nicolas Winding Refn,0.0,4.6,34,29
If They Tell You I Fell,1989,tt0098324,nm0033005,Vicente Aranda,0.0,4.3,32,63
Lord of the Flies,1963,tt0057261,nm0111656,Peter Brook,-1932540.1360544215,4.6,19,38
When Will I Be Loved,2004,tt0396271,nm0864812,James Toback,0.0,4.1,12,60
Raju Chacha,2000,tt0271748,nm0222427,Anil Devgan,0.0,4.2,3,25
Chaplin,1992,tt0103939,nm0000277,Richard Attenborough,-36285236.40693313,4.1,12,69
I'm Losing You,1998,tt0142393,nm0905818,Bruce Wagner,20326.319034814172,4.3,2,44
The Enemy,1927,tt0017850,nm0629243,Fred Niblo,0.0,4.8,43,53
Picture Bride,1994,tt0114129,nm0368981,Kayo Hatta,0.0,4.6,4,36
Green Dolphin Street,1947,tt0039437,nm0767701,Victor Saville,0.0,5.4,36,52
Pelli Naati Pramanalu,1958,tt0261167,nm0714762,Kadiri Venkata Reddy,0.0,4.7,17,46
The Teacher,1974,tt0072260,nm0042849,Howard Avedis,0.0,4.2,16,47
Someone to Watch Over Me,1987,tt0094008,nm0000631,Ridley Scott,-14004053.194084344,4.2,62,50
Red Beard,1965,tt0058888,nm0000041,Akira Kurosawa,0.0,4.9,32,55
Cyrano Agency,2010,tt1786668,nm0453477,Hyun-seok Kim,11609286.614221303,4.8,7,38
Knife in the Water,1962,tt0056291,nm0000591,Roman Polanski,0.0,4.7,36,29
Amador,2010,tt1477171,nm0508208,Fernando León de Aranoa,0.0,4.6,13,42
Crime Doctor,1943,tt0035766,nm0330456,Michael Gordon,0.0,4.5,30,34
Kadosh,1999,tt0189630,nm0321159,Amos Gitai,0.0,4.6,63,49
College Coach,1933,tt0023899,nm0920074,William A. Wellman,0.0,4.4,74,37
The Gorgon,1964,tt0058155,nm0279807,Terence Fisher,0.0,4.5,87,60
The Prime of Miss Jean Brodie,1969,tt0064840,nm0623768,Ronald Neame,0.0,5.3,25,58
Sioux City,1994,tt0111199,nm0001617,Lou Diamond Phillips,0.0,4.4,15,32
Count Your Blessings,1959,tt0052706,nm0624535,Jean Negulesco,0.0,4.2,81,59
Shaft,1971,tt0067741,nm0662953,Gordon Parks,-23386161.76167936,4.7,10,59
Bless the Child,2000,tt0163983,nm0751080,Chuck Russell,609038.8454994193,4.3,19,42
Flesh,1968,tt0062979,nm0607407,Paul Morrissey,0.0,4.4,22,30
San Francisco,1936,tt0028216,nm0886754,W.S. Van Dyke,11609286.614221303,6.0,80,47
The Emperor's Shadow,1996,tt0125994,nm0955777,Xiaowen Zhou,0.0,4.7,14,42
Aurore,2005,tt0430895,nm0227992,Luc Dionne,-7273310.859825049,4.6,4,45
Unforgivable,2011,tt1583737,nm0029242,André Téchiné,0.0,4.4,35,68
Ente Mohangal Poovaninju,1982,tt0291891,nm0080143,Bhadran,0.0,4.4,16,30
Goldie,1931,tt0021920,nm0831577,Benjamin Stoloff,0.0,4.3,97,36
Stage Beauty,2004,tt0368658,nm0264236,Richard Eyre,2698541.630803847,4.7,29,61
Jefferson in Paris,1995,tt0113463,nm0412465,James Ivory,-17906811.6815531,4.1,35,67
The Way,2010,tt1441912,nm0000389,Emilio Estevez,4810345.629900796,4.8,20,48
The Iron Lady,2011,tt1007029,nm1630273,Phyllida Lloyd,11609286.614221303,5.6,10,54
The 39 Steps,1959,tt0053354,nm0859387,Ralph Thomas,0.0,4.6,40,44
Next,2007,tt0435705,nm0848414,Lee Tamahori,6926902.392698231,4.6,17,57
The Lady Vanishes,1938,tt0030341,nm0000033,Alfred Hitchcock,0.0,4.8,81,39
