Movie_name,Release_Date,tconst,nconst,Director_name,capped_profit,Successful,num_movies,Director_age
Go Fish,1994,tt0109913,nm0873266,Rose Troche,3846411.2955383146,4.4,55,30
The Contract,2006,tt0445946,nm0000915,Bruce Beresford,-22841756.838162955,4.0,59,66
Ordinary Decent Criminal,2000,tt0160611,nm0642823,Thaddeus O'Sullivan,0.0,4.5,57,53
A King and His Movie,1986,tt0089794,nm0815044,Carlos Sorin,0.0,4.7,15,42
The Killers,1964,tt0058262,nm0796923,Don Siegel,0.0,4.7,52,52
Too Outrageous!,1987,tt0094165,nm0071514,Richard Benner,0.0,4.5,10,44
Snow Falling on Cedars,1999,tt0120834,nm0382956,Scott Hicks,-16983902.406042323,4.3,35,46
Yanks,1979,tt0080157,nm0772259,John Schlesinger,0.0,4.5,28,53
Harlow,1965,tt0059252,nm0235066,Gordon Douglas,7513446.178259719,4.5,95,58
And God Created Woman,1988,tt0092559,nm0671862,Roger Vadim,1436083.5258854206,4.1,29,60
Aparan,1988,tt0248673,nm0655802,P. Padmarajan,0.0,4.9,18,43
The Man in Grey,1943,tt0036135,nm0035199,Leslie Arliss,0.0,4.6,67,42
A Single Man,2009,tt1315981,nm1053530,Tom Ford,11609286.614221303,5.0,3,48
No Time for Sergeants,1958,tt0052005,nm0503777,Mervyn LeRoy,0.0,4.8,76,58
Bangkok Dangerous,2008,tt0814022,nm0659380,Danny Pang,11609286.614221303,4.5,25,43
The House of Mirth,2000,tt0200720,nm0203993,Terence Davies,-13747744.870305846,4.4,16,55
Outland,1981,tt0082869,nm0001382,Peter Hyams,-41658275.13518468,3.8,24,38
Cash,2007,tt0872190,nm1025280,Anubhav Sinha,0.0,3.9,20,42
The House of Yes,1997,tt0119324,nm0914132,Mark Waters,-1288924.8200924098,4.5,27,33
Female Prisoner Scorpion: Beast Stable,1973,tt0226875,nm0411746,Shun'ya Itô,0.0,4.7,14,36
Maurie,1973,tt0070377,nm0542702,Daniel Mann,0.0,4.8,31,61
Day of Wrath,1943,tt0036506,nm0003433,Carl Theodor Dreyer,0.0,4.9,22,54
Salaam Bombay!,1988,tt0096028,nm0619762,Mira Nair,0.0,4.9,30,31
Eyes of a Stranger,1981,tt0082352,nm0927296,Ken Wiederhorn,-2082913.756759234,4.4,24,36
The Red Lily,1924,tt0015268,nm0629243,Fred Niblo,0.0,4.7,43,50
Apne,2007,tt0814014,nm0788858,Anil Sharma,0.0,4.5,22,52
Jud Süß,1940,tt0032653,nm0363235,Veit Harlan,0.0,4.2,31,41
Tomorrow is Forever,1946,tt0039041,nm0681635,Irving Pichel,0.0,4.7,36,55
Lady Cocoa,1975,tt0073259,nm0162343,Matt Cimber,0.0,4.2,82,39
Sella Turcica,2010,tt1773039,nm1651758,Fred Vogel,-21713.386423792716,4.2,5,34
Bright Young Things,2003,tt0325123,nm0000410,Stephen Fry,-12869010.19252548,4.3,1,46
Condemned to Live,1935,tt0026230,nm0833965,Frank R. Strayer,0.0,4.2,91,44
Cadence,1990,tt0101531,nm0000640,Martin Sheen,0.0,4.6,2,50
Mona Lisa,1986,tt0091538,nm0001403,Neil Jordan,0.0,4.7,29,36
Late Spring,1949,tt0041154,nm0654868,Yasujirô Ozu,0.0,4.9,54,46
They Met in Bombay,1941,tt0034281,nm0113284,Clarence Brown,0.0,4.6,52,51
For Love of the Game,1999,tt0126916,nm0000600,Sam Raimi,-5524710.820071039,4.5,42,40
This Sporting Life,1963,tt0057578,nm0000755,Lindsay Anderson,-2212998.0907591837,4.7,38,40
The Way to the Gold,1957,tt0051181,nm0916271,Robert D. Webb,11609286.614221303,4.7,21,54
The Mysterious Dr. Fu Manchu,1929,tt0020197,nm0498174,Rowland V. Lee,0.0,4.4,57,38
Gone to Earth,1950,tt0042513,nm0003836,Michael Powell,0.0,4.6,58,45
The Pride of the Yankees,1942,tt0035211,nm0939992,Sam Wood,0.0,6.5,74,59
Passing Fancy,1933,tt0023937,nm0654868,Yasujirô Ozu,0.0,4.7,54,30
The Mystery of Mr. X,1934,tt0025546,nm0783629,Edgar Selwyn,0.0,4.6,8,59
Three Violent People,1956,tt0049849,nm0005789,Rudolph Maté,10450646.229307173,4.7,38,58
The Clearing,2004,tt0331952,nm0115764,Pieter Jan Brugge,0.0,4.4,2,48
Malibu Express,1985,tt0089539,nm0796477,Andy Sidaris,-1100416.021072203,4.2,21,54
The Creeping Flesh,1973,tt0068424,nm0005711,Freddie Francis,0.0,4.5,50,56
Mediterraneo,1991,tt0102426,nm0759368,Gabriele Salvatores,0.0,5.2,27,41
Of Gods and Men,2010,tt1588337,nm0064741,Xavier Beauvois,-4342677.284758543,4.6,12,43
Vice Versa,1988,tt0096380,nm0317981,Brian Gilbert,11609286.614221303,4.6,10,28
The Killing Fields,1984,tt0087553,nm0423646,Roland Joffé,11609286.614221303,6.8,79,39
Walk a Crooked Mile,1948,tt0040947,nm0235066,Gordon Douglas,0.0,4.5,95,41
Dream Home,2010,tt1407972,nm1001051,Ho-Cheung Pang,0.0,4.6,17,37
Green Fire,1954,tt0047050,nm0554249,Andrew Marton,0.0,4.4,77,50
Desperate Moment,1953,tt0045681,nm0071682,Compton Bennett,0.0,4.6,22,53
Vincere,2009,tt1156173,nm0069166,Marco Bellocchio,0.0,4.6,57,70
Fourteen Hours,1951,tt0043560,nm0368871,Henry Hathaway,0.0,4.7,64,53
Mammoth,2009,tt1038043,nm0600546,Lukas Moodysson,-11034747.696978454,4.4,24,40
Fire with Fire,1986,tt0091053,nm0316496,Duncan Gibbins,10013005.720367976,4.7,4,34
Close-up,1990,tt0100234,nm0452102,Abbas Kiarostami,0.0,4.9,42,50
Handsome Harry,2009,tt1318001,nm0330028,Bette Gordon,-1103474.7696978452,4.4,13,59
Tortilla Soup,2001,tt0255653,nm0728048,Maria Ripoll,6116405.98244917,4.7,18,37
Hathyar: Face to Face with Reality,2002,tt0337633,nm0542498,Mahesh Manjrekar,0.0,4.4,43,49
Pale Rider,1985,tt0089767,nm0000142,Clint Eastwood,-15185741.090796404,4.5,43,55
The Bone Collector,1999,tt0145681,nm0637518,Phillip Noyce,11609286.614221303,4.8,79,49
Nightmare,1964,tt0058405,nm0005711,Freddie Francis,0.0,4.6,50,47
Bambi,1942,tt0034492,nm0019282,James Algar,11609286.614221303,4.9,39,30
The Strange Love of Martha Ivers,1946,tt0038988,nm0587277,Lewis Milestone,0.0,4.7,47,51
Last Orders,2001,tt0253200,nm0770961,Fred Schepisi,0.0,4.6,24,62
Strange Behavior,1981,tt0082243,nm0490861,Michael Laughlin,0.0,4.4,3,43
Foreign Correspondent,1940,tt0032484,nm0000033,Alfred Hitchcock,11609286.614221303,5.0,81,41
Pieces of April,2003,tt0311648,nm0373282,Peter Hedges,3824705.862447112,4.7,7,41
Serenity,2005,tt0379786,nm0923736,Joss Whedon,-158238.15106635378,4.8,49,41
Fatal Attraction,1987,tt0093010,nm0001490,Adrian Lyne,11609286.614221303,4.8,11,46
Delirious,2006,tt0412637,nm0001139,Tom DiCillo,0.0,4.5,27,53
Anna,1951,tt0043287,nm0490444,Alberto Lattuada,0.0,4.6,46,37
Seven Beauties,1975,tt0075040,nm0921631,Lina Wertmüller,0.0,4.8,38,47
Death of a Ghost Hunter,2007,tt1160317,nm1995338,Sean Tretta,0.0,4.1,6,31
Rocket Science,2007,tt0477078,nm0998825,Jeffrey Blitz,862915.762740298,4.6,79,38
The Square,2008,tt1085507,nm0003482,Nash Edgerton,0.0,4.6,41,35
A Thousand Years of Good Prayers,2007,tt0838233,nm0911061,Wayne Wang,0.0,4.6,22,58
Larceny on the Air,1937,tt0029112,nm0681635,Irving Pichel,0.0,4.3,36,46
Insaaf Main Karoonga,1985,tt0243333,nm0593967,Shibu Mitra,0.0,4.7,38,37
Nammal,2002,tt0357945,nm0436382,Kamal,0.0,4.6,48,45
Dil-E-Nadaan,1982,tt0313971,nm0820232,C.V. Sridhar,0.0,4.5,59,49
Final Fantasy VII: Advent Children,2005,tt0385700,nm0634602,Tetsuya Nomura,0.0,4.7,25,35
This Happy Feeling,1958,tt0052291,nm0001175,Blake Edwards,0.0,4.4,75,36
Love's Brother,2004,tt0301563,nm0764982,Jan Sardi,-9776.098649960291,4.5,1,51
"Sorry, Wrong Number",1948,tt0040823,nm0514822,Anatole Litvak,0.0,4.7,35,46
Miracle on 34th Street,1994,tt0110527,nm0562645,Les Mayfield,11609286.614221303,4.8,12,35
Not Easily Broken,2009,tt0795438,nm0004886,Bill Duke,11609286.614221303,4.7,92,66
Boiling Point,1993,tt0106455,nm0364805,James B. Harris,1734355.787258148,4.3,6,65
Games,1967,tt0061696,nm0364252,Curtis Harrington,0.0,4.5,51,41
A Question of Silence,1982,tt0086369,nm0331296,Marleen Gorris,0.0,4.6,21,34
Pelli Chesi Choodu,1952,tt0255470,nm0695264,L.V. Prasad,0.0,5.0,33,44
Saturn 3,1980,tt0079285,nm0002045,Stanley Donen,11609286.614221303,4.5,26,56
Miss Annie Rooney,1942,tt0035068,nm0547446,Edwin L. Marin,0.0,4.5,56,43
Bigfoot,1970,tt0065470,nm0805500,Robert F. Slatzer,0.0,3.7,3,43
3-Iron,2004,tt0423866,nm1104118,Kim Ki-duk,3716565.636949616,4.9,25,44
La mujer del ministro,1981,tt0082777,nm0407061,Eloy de la Iglesia,0.0,4.3,23,37
La Fille de Monaco,2008,tt1139800,nm0284774,Anne Fontaine,659285.5254932013,4.4,21,49
The Son of No One,2011,tt1535612,nm1996918,Dito Montiel,-15754390.339936351,4.0,12,46
The Magic Box,1951,tt0043769,nm0099589,John Boulting,0.0,4.7,14,38
London After Midnight,1927,tt0018097,nm0115218,Tod Browning,-2073004.1670667303,4.5,62,47
The Raggedy Rawney,1988,tt0095951,nm0001364,Bob Hoskins,0.0,4.5,3,46
Dragonfly,2002,tt0259288,nm0001723,Tom Shadyac,-78966893.676164,3.1,16,44
Galileo,1975,tt0073029,nm0521334,Joseph Losey,0.0,4.6,36,66
Laura,1944,tt0037008,nm0695937,Otto Preminger,-13726436.191378493,5.5,40,39
All of a Sudden,1996,tt0115511,nm0946875,Herman Yau,0.0,4.5,74,35
Three Colors: Blue,1993,tt0108394,nm0001425,Krzysztof Kieslowski,2171347.671367753,4.9,53,52
Intimate Stories,2002,tt0291988,nm0815044,Carlos Sorin,0.0,4.7,15,58
Crimson Gold,2003,tt0371280,nm0070159,Jafar Panahi,0.0,4.7,20,43
The Last Picture Show,1971,tt0067328,nm0000953,Peter Bogdanovich,11609286.614221303,6.7,34,32
Sisters of Death,1977,tt0177226,nm0563698,Joe Mazzuca,0.0,4.1,8,42
A Reasonable Man,1999,tt0178860,nm0004303,Gavin Hood,63953.93966681674,4.6,18,36
The Prize,1963,tt0057426,nm0733476,Mark Robson,0.0,4.6,32,50
The Mirror Crack'd,1980,tt0081163,nm0357891,Guy Hamilton,0.0,4.5,27,58
In the Realm of the Senses,1976,tt0074102,nm0651915,Nagisa Ôshima,0.0,4.6,70,44
Desi Boyz,2011,tt1985981,nm2539328,Rohit Dhawan,0.0,4.4,5,28
Carancho,2010,tt1542852,nm0871086,Pablo Trapero,0.0,4.6,24,39
Bobby Deerfield,1977,tt0075774,nm0001628,Sydney Pollack,0.0,4.4,66,43
Life During Wartime,2009,tt0808526,nm0001754,Todd Solondz,-4143750.7995730336,4.5,12,50
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,tt0057012,nm0000040,Stanley Kubrick,11609286.614221303,5.2,16,36
Cape of Good Hope,2004,tt0398830,nm0051470,Mark Bamford,0.0,4.6,2,37
Zorba the Greek,1964,tt0057831,nm0128050,Michael Cacoyannis,-5976284.314884471,6.4,17,42
The End of the Affair,1955,tt0048034,nm0229424,Edward Dmytryk,0.0,4.6,55,47
The Baby of Mâcon,1993,tt0106335,nm0000425,Peter Greenaway,0.0,4.6,74,51
Selena,1997,tt0120094,nm0622695,Gregory Nava,11609286.614221303,4.8,12,48
Tokyo Joe,1949,tt0041967,nm0374702,Stuart Heisler,0.0,4.5,94,53
Bodyguard,1948,tt0040178,nm0281507,Richard Fleischer,0.0,4.6,61,32
The Emperor's Candlesticks,1937,tt0028829,nm0280463,George Fitzmaurice,0.0,4.6,80,52
The Mind Benders,1963,tt0057311,nm0213136,Basil Dearden,0.0,4.5,52,52
Pusher II,2004,tt0396184,nm0716347,Nicolas Winding Refn,0.0,4.7,34,34
Pretty Poison,1968,tt0063456,nm0085457,Noel Black,-12250841.399137516,4.4,44,31
The Virgin Queen of St. Francis High,1987,tt0096394,nm0524442,Francesco Lucente,0.0,3.9,10,27
Man Push Cart,2005,tt0464105,nm1023919,Ramin Bahrani,0.0,4.7,22,30
Adrenalin: Fear the Rush,1996,tt0115471,nm0089502,Albert Pyun,56653.67390500478,4.0,49,43
Deception,1946,tt0038461,nm0710924,Irving Rapper,0.0,4.7,21,48
Strange Intruder,1956,tt0049805,nm0710924,Irving Rapper,0.0,4.4,21,58
Oil for the Lamps of China,1935,tt0026805,nm0503777,Mervyn LeRoy,0.0,4.5,76,35
Harry and Tonto,1974,tt0071598,nm0005196,Paul Mazursky,0.0,5.3,19,44
Just Between Friends,1986,tt0091310,nm0122560,Allan Burns,11609286.614221303,4.6,3,51
Personal Effects,2009,tt1138489,nm1044494,David Hollander,0.0,4.5,16,41
Lolita,1962,tt0056193,nm0000040,Stanley Kubrick,11609286.614221303,5.0,16,34
God's Step Children,1938,tt0028942,nm0584778,Oscar Micheaux,0.0,4.4,42,54
Dust Be My Destiny,1939,tt0031259,nm0782597,Lewis Seiler,0.0,4.6,90,49
The Invitation,1973,tt0070224,nm0330848,Claude Goretta,0.0,4.7,45,44
The Last Tycoon,1976,tt0074777,nm0001415,Elia Kazan,0.0,4.5,20,67
Postmen in the Mountains,1999,tt0210916,nm0403225,Jianqi Huo,0.0,4.8,13,41
K-19: The Widowmaker,2002,tt0267626,nm0000941,Kathryn Bigelow,-45121517.21608339,3.8,24,51
Evelyn,2002,tt0298856,nm0000915,Bruce Beresford,0.0,4.7,59,62
Kaboom,2010,tt1523483,nm0000777,Gregg Araki,586214.7496615922,4.4,38,51
The Wild Party,1929,tt0020590,nm0002188,Dorothy Arzner,0.0,4.5,17,32
Corporate,2006,tt0488381,nm1055105,Madhur Bhandarkar,0.0,4.6,16,40
RoboCop,1987,tt0093870,nm0000682,Paul Verhoeven,11609286.614221303,5.2,51,49
The Dying Gaul,2005,tt0384929,nm0524108,Craig Lucas,418265.0753974824,4.5,3,54
The Edge of Love,2008,tt0819714,nm0562266,John Maybury,0.0,4.5,32,50
5 Branded Women,1960,tt0053561,nm0728688,Martin Ritt,0.0,4.6,33,46
The Sky Pilot,1921,tt0012699,nm0896542,King Vidor,0.0,4.4,73,27
Fort Apache Napoli,2009,tt1272011,nm0728276,Marco Risi,-5296678.894549658,4.6,34,58
Love in a Fallen City,1984,tt0087959,nm0401176,Ann Hui,0.0,4.5,34,37
Younger and Younger,1993,tt0108636,nm0000727,Percy Adlon,0.0,4.2,21,58
Kadathanadan Ambadi,1990,tt0278525,nm0698184,Priyadarshan,0.0,4.4,88,33
Water,2005,tt0240200,nm0576548,Deepa Mehta,11609286.614221303,5.0,38,55
The Miracle of the Bells,1948,tt0040594,nm0681635,Irving Pichel,-19693823.22357019,4.2,36,57
Angel Guts: Red Classroom,1979,tt0224235,nm0814232,Chûsei Sone,0.0,4.4,44,42
Thunder Rock,1942,tt0035440,nm0099592,Roy Boulting,0.0,4.6,26,29
Gospel Hill,2008,tt0810880,nm0002064,Giancarlo Esposito,0.0,4.3,3,50
Rosario Tijeras,2005,tt0382271,nm0537595,Emilio Maillé,0.0,4.5,50,42
The Bride Wore Red,1937,tt0028661,nm0002188,Dorothy Arzner,0.0,4.5,17,40
Ten Little Indians,1989,tt0098454,nm0083608,Alan Birkinshaw,0.0,4.2,16,45
Lore,2012,tt1996310,nm0795153,Cate Shortland,0.0,4.7,29,44
The Night and the Moment,1994,tt0110665,nm0851383,Anna Maria Tatò,0.0,4.3,5,54
Convicted,1950,tt0042343,nm0505610,Henry Levin,0.0,4.6,55,41
Somewhere,2010,tt1421051,nm0001068,Sofia Coppola,6445519.963994639,4.6,20,39
Bad Day at Black Rock,1955,tt0047849,nm0836328,John Sturges,6445589.747899159,4.9,41,45
The Other Boleyn Girl,2008,tt0467200,nm0149491,Justin Chadwick,11609286.614221303,4.8,74,40
Tom Sawyer,1930,tt0021483,nm0188669,John Cromwell,0.0,4.5,47,44
Man on Fire,1987,tt0093489,nm0159402,Élie Chouraqui,1082571.311378071,4.4,17,37
Scream 4,2011,tt1262416,nm0000127,Wes Craven,11609286.614221303,4.7,33,72
Anastasia,1956,tt0048947,nm0514822,Anatole Litvak,-30655228.939301036,4.7,35,54
Alias Nick Beal,1949,tt0041107,nm0268513,John Farrow,0.0,4.7,49,45
The Life of David Gale,2003,tt0289992,nm0000570,Alan Parker,-14213052.19083488,4.5,20,59
Avanim,2004,tt0362427,nm0618930,Raphaël Nadjari,0.0,4.6,8,33
Assassin,1969,tt0307956,nm0497802,Lee Man-hee,0.0,4.5,51,38
Home Sweet Home,1981,tt0082522,nm0671569,Nettie Peña,0.0,3.9,2,40
Pirates of Treasure Island,2006,tt0811011,nm0805635,Leigh Scott,0.0,3.6,34,34
The Lake,1998,tt0254637,nm0435347,Kakhaber Kikabidze,0.0,4.7,3,37
Antichrist,2009,tt0870984,nm0001885,Lars von Trier,-9387586.4943514,4.4,38,53
Family Law,2006,tt0474622,nm0122184,Daniel Burman,0.0,4.6,32,33
Stavisky,1974,tt0072204,nm0720297,Alain Resnais,0.0,4.6,42,52
L.A. Confidential,1997,tt0119488,nm0000436,Curtis Hanson,11609286.614221303,6.8,17,52
Three Monkeys,2008,tt1233381,nm0149196,Nuri Bilge Ceylan,0.0,4.7,12,49
Kempe Gowda,2011,tt1964837,nm1679372,Sudeep,0.0,4.7,7,38
Red Sorghum,1988,tt0093206,nm0955443,Yimou Zhang,0.0,4.7,31,37
When Strangers Appear,2001,tt0243554,nm0721944,Scott Reynolds,-2673977.786144578,4.5,7,33
Sadhu Miranda,2008,tt6450174,nm0796504,Siddique,0.0,4.7,16,46
Two Years Before the Mast,1946,tt0039056,nm0268513,John Farrow,11609286.614221303,4.8,49,42
Terri,2011,tt1687281,nm0414337,Azazel Jacobs,690195.726573481,4.6,32,39
The Perfect Game,2009,tt0473102,nm0213100,William Dear,-9513063.713888513,4.5,44,65
Montenegro,1981,tt0082770,nm0538445,Dusan Makavejev,0.0,4.6,28,49
Return of Sergeant Lapins,2010,tt1754421,nm2097634,Gatis Smits,0.0,4.7,3,37
Lafangey Parindey,2010,tt1606267,nm1224879,Pradeep Sarkar,-4885511.945353361,4.2,24,55
A Degree of Murder,1967,tt0061992,nm0772522,Volker Schlöndorff,0.0,4.4,42,28
Thérèse,1986,tt0092090,nm0146760,Alain Cavalier,0.0,4.7,38,55
The Rothschilds,1940,tt0248379,nm0913297,Erich Waschneck,0.0,4.4,48,53
The Viking,1931,tt0022537,nm0295920,Varick Frissell,0.0,4.4,4,28
Algiers,1938,tt0029855,nm0188669,John Cromwell,11609286.614221303,4.8,47,52
Dinner at Eight,1933,tt0023948,nm0002030,George Cukor,-7962389.110824743,4.6,53,34
Isabella,2006,tt0499141,nm1001051,Ho-Cheung Pang,0.0,4.7,17,33
Melvin and Howard,1980,tt0081150,nm0001129,Jonathan Demme,0.0,5.6,55,36
For Your Eyes Only,1981,tt0082398,nm0322515,John Glen,11609286.614221303,4.8,25,49
Chashme Buddoor,1981,tt0082162,nm0660936,Sai Paranjape,0.0,4.9,21,43
Bhoot bungla,1965,tt0271397,nm0576454,Mehmood,0.0,4.5,7,33
New Town Killers,2008,tt1183908,nm0423428,Richard Jobson,0.0,4.4,12,48
Inferno,1999,tt0139151,nm0000814,John G. Avildsen,-21317979.888938915,3.9,31,64
King of Kings,1961,tt0055047,nm0712947,Nicholas Ray,11609286.614221303,4.9,26,50
Pushover,1954,tt0047377,nm0703689,Richard Quine,0.0,4.7,50,34
Extreme Prejudice,1987,tt0092997,nm0001353,Walter Hill,11609286.614221303,4.8,32,45
Thattathin Marayathu,2012,tt2248028,nm2068971,Vineeth Sreenivasan,0.0,4.8,7,27
Postman,1995,tt0115028,nm0372087,Jianjun He,0.0,4.5,6,35
SPOILER,1998,tt0120187,nm0123009,Jeff Burr,0.0,4.1,32,37
Fay Grim,2006,tt0444628,nm0001325,Hal Hartley,0.0,4.5,95,47
The Emperor's New Clothes,2001,tt0282768,nm0851930,Alan Taylor,0.0,4.6,90,36
Winter People,1989,tt0098659,nm0467646,Ted Kotcheff,0.0,4.5,89,58
Bopha!,1993,tt0106464,nm0000151,Morgan Freeman,-19665421.401788287,4.2,5,56
Sleepless in Seattle,1993,tt0108160,nm0001188,Nora Ephron,11609286.614221303,4.8,8,52
A Room for Romeo Brass,1999,tt0202559,nm0276349,Shane Meadows,0.0,4.8,35,27
Stasera niente di nuovo,1942,tt0035381,nm0560395,Mario Mattoli,0.0,4.4,95,44
Runaway,1984,tt0088024,nm0000341,Michael Crichton,11609286.614221303,4.6,8,42
A Tree Grows In Brooklyn,1945,tt0038190,nm0001415,Elia Kazan,0.0,4.9,20,36
13 Moons,2002,tt0276744,nm0734319,Alexandre Rockwell,0.0,4.4,10,46
"4 Months, 3 Weeks and 2 Days",2007,tt1032846,nm0612816,Cristian Mungiu,10261981.034010973,5.0,12,39
The White Countess,2005,tt0384686,nm0412465,James Ivory,4961224.73940175,4.6,35,77
"Suddenly, Last Summer",1959,tt0053318,nm0000581,Joseph L. Mankiewicz,11609286.614221303,5.0,22,50
Benaam,1974,tt0071205,nm0066066,Narendra Bedi,0.0,4.6,14,37
Monster's Ball,2001,tt0285742,nm0286975,Marc Forster,11609286.614221303,5.4,25,32
Tales From The Dead,2008,tt0960855,nm1231999,Jason Cuadrado,0.0,4.4,12,38
Twisted,2004,tt0315297,nm0442241,Philip Kaufman,-62667299.038207,3.2,13,68
The Age of Stupid,2009,tt1300563,nm1671943,Franny Armstrong,0.0,4.7,6,36
