Movie_name,Top_genres,Release_Date,tconst,nconst,Director_name,Successful,director_name,num_movies,birth_year,death_year,Director_age
Ghosts of Mars,Drama,2001,tt0228333,nm0000118,John Carpenter,3.9,John Carpenter,32.0,1948,0,53
White Of The Eye,Drama,1987,tt0094320,nm0131910,Donald Cammell,4.5,Donald Cammell,5.0,1934,1996,53
A Woman in Flames,Other,1983,tt0083949,nm0885554,Robert van Ackeren,4.4,Robert van Ackeren,14.0,1946,0,37
Henry V,Drama,1989,tt0097499,nm0000110,Kenneth Branagh,5.5,Kenneth Branagh,23.0,1960,0,29
Mary Poppins,Family,1964,tt0058331,nm0829038,Robert Stevenson,8.1,Robert Stevenson,134.0,1905,1986,59
Die Fahne von Kriwoj Rog,Other,1967,tt0061637,nm0535512,Kurt Maetzig,4.8,Kurt Maetzig,27.0,1911,2012,56
Baby Boy,Drama,2001,tt0255819,nm0005436,John Singleton,4.7,John Singleton,19.0,1968,2019,33
Bindiya Chamkegi,Family,1984,tt0367546,nm1379836,Tarun Dutt,4.2,Tarun Dutt,1.0,1954,1989,30
Vandanam,Other,1989,tt0255668,nm0698184,Priyadarshan,4.9,Priyadarshan,88.0,1957,0,32
Anokha Rishta,Family,1986,tt0366182,nm0765873,I.V. Sasi,4.7,I.V. Sasi,120.0,1948,2017,38
Siam Sunset,Family,1999,tt0178022,nm0689852,John Polson,4.5,John Polson,81.0,1965,0,34
Daddy and Them,Family,2001,tt0166158,nm0000671,Billy Bob Thornton,4.3,Billy Bob Thornton,8.0,1955,0,46
The Gods Must Be Crazy,Action/Adventure,1980,tt0080801,nm0371059,Jamie Uys,4.9,Jamie Uys,24.0,1921,1996,59
Rudo y Cursi,Drama,2008,tt0405393,nm0190860,Carlos Cuarón,4.8,Carlos Cuarón,11.0,1966,0,42
Kinjite: Forbidden Subjects,Action/Adventure,1989,tt0097670,nm0496746,J. Lee Thompson,4.5,J. Lee Thompson,49.0,1914,2002,75
Loverboy,Family,1989,tt0097790,nm0798717,Joan Micklin Silver,4.6,Joan Micklin Silver,19.0,1935,2020,54
Juarez,Other,1939,tt0031516,nm0226189,William Dieterle,4.6,William Dieterle,83.0,1893,1972,46
The Human Tornado,Action/Adventure,1976,tt0074653,nm0740673,Cliff Roquemore,4.5,Cliff Roquemore,3.0,1948,2002,28
Shivers,Fiction,1975,tt0073705,nm0000343,David Cronenberg,4.5,David Cronenberg,48.0,1943,0,32
Adventurer's Fate,Other,1958,tt0163238,nm0596261,José Mojica Marins,4.7,José Mojica Marins,30.0,1936,2020,22
Zindagi,Other,1976,tt0320792,nm0849200,Ravi Tandon,4.6,Ravi Tandon,24.0,1935,2022,41
The Little Hut,Family,1957,tt0050646,nm0733476,Mark Robson,4.6,Mark Robson,32.0,1913,1978,44
Drums in the Deep South,Action/Adventure,1951,tt0043482,nm0580017,William Cameron Menzies,4.4,William Cameron Menzies,36.0,1896,1957,55
Vixen!,Other,1968,tt0063787,nm0000540,Russ Meyer,4.3,Russ Meyer,33.0,1922,2004,46
Closing the Ring,Drama,2007,tt0488380,nm0000277,Richard Attenborough,4.1,Richard Attenborough,12.0,1923,2014,84
The Boston Strangler,Drama,1968,tt0062755,nm0281507,Richard Fleischer,4.9,Richard Fleischer,61.0,1916,2006,52
The Hero: Love Story of a Spy,Drama,2003,tt0347167,nm0788858,Anil Sharma,4.3,Anil Sharma,22.0,1955,0,48
33 Scenes from Life,Other,2008,tt1263736,nm0844333,Malgorzata Szumowska,4.5,Malgorzata Szumowska,20.0,1973,0,35
The House That Drips Blood on Alex,Other,2010,tt1691424,nm1628965,Brock LaBorde,4.1,Brock LaBorde,3.0,1979,0,31
Raampur Ka Lakshman,Drama,1972,tt0214042,nm0220828,Manmohan Desai,4.5,Manmohan Desai,23.0,1937,1994,35
Choke Canyon,Drama,1986,tt0090836,nm0047094,Charles Bail,4.3,Charles Bail,64.0,1935,2020,51
ChromeSkull: Laid to Rest 2,Horror,2011,tt1792799,nm0356042,Robert Hall,4.2,Robert Hall,17.0,1973,2021,38
Desperate,Other,1947,tt0039313,nm0542649,Anthony Mann,4.6,Anthony Mann,40.0,1906,1967,41
Children of Glory,Drama,2006,tt0486219,nm0323558,Krisztina Goda,4.6,Krisztina Goda,6.0,1970,0,36
Star!,Family,1968,tt0063642,nm0936404,Robert Wise,3.3,Robert Wise,39.0,1914,2005,54
Beachhead,Action/Adventure,1954,tt0046757,nm0374702,Stuart Heisler,4.6,Stuart Heisler,94.0,1896,1979,58
A Zed & Two Noughts,Drama,1985,tt0090366,nm0000425,Peter Greenaway,4.7,Peter Greenaway,74.0,1942,0,43
Things to Do in Denver When You're Dead,Drama,1995,tt0114660,nm0001219,Gary Fleder,4.4,Gary Fleder,82.0,1965,0,30
Minsaara Kanavu,Family,1997,tt0274789,nm0579766,Rajiv Menon,4.6,Rajiv Menon,4.0,1963,0,34
Convoy,Action/Adventure,1978,tt0077369,nm0001603,Sam Peckinpah,4.7,Sam Peckinpah,33.0,1925,1984,53
"Black Cat, White Cat",Family,1998,tt0118843,nm0001437,Emir Kusturica,4.9,Emir Kusturica,45.0,1954,0,44
Valiant Is the Word for Carrie,Drama,1936,tt0028455,nm0749484,Wesley Ruggles,4.5,Wesley Ruggles,80.0,1889,1972,47
The Astronaut Farmer,Fiction,2006,tt0469263,nm0689187,Michael Polish,4.5,Michael Polish,21.0,1970,0,36
Straw Dogs,Drama,1971,tt0067800,nm0001603,Sam Peckinpah,5.0,Sam Peckinpah,33.0,1925,1984,46
The Lone Wolf Meets a Lady,Drama,1940,tt0032725,nm0758508,Sidney Salkow,4.5,Sidney Salkow,260.0,1909,2000,31
Cipher in the snow,Other,1974,tt0368645,nm1383930,Keith J. Atkinson,4.7,Keith J. Atkinson,6.0,1943,0,31
The Bone Snatcher,Other,2003,tt0343449,nm0943301,Jason Wulfsohn,4.1,Jason Wulfsohn,4.0,1971,0,32
Enemy Territory,Action/Adventure,1987,tt0092969,nm0543596,Peter Manoogian,4.5,Peter Manoogian,7.0,1949,0,38
"Spring, Summer, Fall, Winter... and Spring",Drama,2003,tt0374546,nm1104118,Kim Ki-duk,5.1,Kim Ki-duk,25.0,1960,2020,43
Grease,Family,1978,tt0077631,nm0459170,Randal Kleiser,4.9,Randal Kleiser,38.0,1946,0,32
Vanishing on 7th Street,Drama,2010,tt1452628,nm0026442,Brad Anderson,4.0,Brad Anderson,86.0,1964,0,46
House by the River,Horror,1950,tt0042579,nm0000485,Fritz Lang,4.7,Fritz Lang,45.0,1890,1976,60
Le Grand jeu,Drama,1934,tt0025198,nm0275494,Jacques Feyder,4.7,Jacques Feyder,43.0,1885,1948,49
What Have I Done To Deserve This?,Drama,1984,tt0088461,nm0000264,Pedro Almodóvar,4.7,Pedro Almodóvar,43.0,1949,0,35
The Iron Rose,Horror,1973,tt0126004,nm0210811,Jean Rollin,4.4,Jean Rollin,47.0,1938,2010,35
Becoming Jane,Drama,2007,tt0416508,nm0418982,Julian Jarrold,4.9,Julian Jarrold,110.0,1960,0,47
The Dark Half,Horror,1993,tt0106664,nm0001681,George A. Romero,4.0,George A. Romero,29.0,1940,2017,53
Plug & Pray,Fiction,2010,tt1692889,nm1142620,Jens Schanze,4.7,Jens Schanze,9.0,1971,0,39
Midnight Express,Drama,1978,tt0077928,nm0000570,Alan Parker,6.3,Alan Parker,20.0,1944,2020,34
RoboCop 3,Drama,1993,tt0107978,nm0215269,Fred Dekker,3.7,Fred Dekker,7.0,1959,0,34
Gagamboy,Fiction,2004,tt0392023,nm0560277,Erik Matti,4.4,Erik Matti,38.0,1970,0,34
Rogues' Regiment,Drama,1948,tt0040744,nm0282984,Robert Florey,4.6,Robert Florey,282.0,1900,1979,48
Hell Boats,Other,1970,tt0065825,nm0920862,Paul Wendkos,4.3,Paul Wendkos,205.0,1925,2009,45
The Forbidden Kingdom,Action/Adventure,2008,tt0865556,nm0591450,Rob Minkoff,4.8,Rob Minkoff,11.0,1962,0,46
Eagle's Wing,Action/Adventure,1979,tt0079094,nm0367431,Anthony Harvey,4.4,Anthony Harvey,13.0,1930,2017,49
Superman,Fiction,1978,tt0078346,nm0001149,Richard Donner,5.3,Richard Donner,173.0,1930,2021,48
Bleeder,Drama,1999,tt0161292,nm0716347,Nicolas Winding Refn,4.6,Nicolas Winding Refn,34.0,1970,0,29
If They Tell You I Fell,Drama,1989,tt0098324,nm0033005,Vicente Aranda,4.3,Vicente Aranda,32.0,1926,2015,63
Lord of the Flies,Drama,1963,tt0057261,nm0111656,Peter Brook,4.6,Peter Brook,19.0,1925,2022,38
Without Warning,Fiction,1980,tt0081764,nm0163990,Greydon Clark,4.2,Greydon Clark,22.0,1943,0,37
Trial and Error,Family,1997,tt0120373,nm0528718,Jonathan Lynn,4.6,Jonathan Lynn,16.0,1943,0,54
Ajooba,Other,1991,tt0101283,nm0004434,Shashi Kapoor,4.3,Shashi Kapoor,2.0,1938,2017,53
Taxi,Family,1998,tt0152930,nm0000091,Gérard Pirès,4.7,Gérard Pirès,28.0,1942,0,56
When Will I Be Loved,Drama,2004,tt0396271,nm0864812,James Toback,4.1,James Toback,12.0,1944,0,60
From the Drain,Other,1967,tt0061687,nm0000343,David Cronenberg,4.1,David Cronenberg,48.0,1943,0,24
Necessary Roughness,Family,1991,tt0102517,nm0236769,Stan Dragoti,4.7,Stan Dragoti,7.0,1932,2018,59
Song of the Islands,Other,1942,tt0035361,nm0485943,Walter Lang,4.5,Walter Lang,64.0,1896,1972,46
Sweeney Todd: The Demon Barber of Fleet Street,Horror,2007,tt0408236,nm0000318,Tim Burton,5.6,Tim Burton,50.0,1958,0,49
Raju Chacha,Drama,2000,tt0271748,nm0222427,Anil Devgan,4.2,Anil Devgan,3.0,1975,2020,25
Hula-La-La,Other,1951,tt0043661,nm0566136,Hugh McCollum,4.7,Hugh McCollum,2.0,1900,1968,51
Chaplin,Drama,1992,tt0103939,nm0000277,Richard Attenborough,4.1,Richard Attenborough,12.0,1923,2014,69
Nothing to Lose,Action/Adventure,1997,tt0119807,nm0644203,Steve Oedekerk,4.8,Steve Oedekerk,10.0,1961,0,36
Beyond the Time Barrier,Fiction,1960,tt0053651,nm0880618,Edgar G. Ulmer,4.3,Edgar G. Ulmer,44.0,1904,1972,56
"The Prophet, the Gold and the Transylvanians",Other,1978,tt0078119,nm0685625,Dan Pita,4.8,Dan Pita,25.0,1938,0,40
Friday the 13th: The Final Chapter,Horror,1984,tt0087298,nm0957263,Joseph Zito,4.6,Joseph Zito,10.0,1946,0,38
The Stoker,Other,1932,tt0023512,nm0291387,Chester M. Franklin,4.3,Chester M. Franklin,48.0,1890,1954,42
I'm Losing You,Drama,1998,tt0142393,nm0905818,Bruce Wagner,4.3,Bruce Wagner,2.0,1954,0,44
Beastmaster 2: Through the Portal of Time,Fiction,1991,tt0101412,nm0845973,Sylvio Tabet,3.9,Sylvio Tabet,1.0,1938,0,53
Amy,Drama,1981,tt0082017,nm0568546,Vincent McEveety,4.5,Vincent McEveety,292.0,1929,2018,52
Chala Murari Hero Banne,Family,1977,tt0075825,nm2147526,Govardhan Asrani,4.7,Govardhan Asrani,7.0,1941,0,36
The Enemy,Drama,1927,tt0017850,nm0629243,Fred Niblo,4.8,Fred Niblo,43.0,1874,1948,53
Herod's Law,Family,1999,tt0221344,nm0261840,Luis Estrada,4.8,Luis Estrada,13.0,1962,0,37
Ziddi,Family,1964,tt0058772,nm0149850,Pramod Chakravorty,4.7,Pramod Chakravorty,22.0,1929,2004,35
Thief of Damascus,Other,1952,tt0045229,nm0419282,Will Jason,4.3,Will Jason,115.0,1910,1970,42
Picture Bride,Drama,1994,tt0114129,nm0368981,Kayo Hatta,4.6,Kayo Hatta,4.0,1958,2005,36
Black Rider,Other,1993,tt0108056,nm0200500,Pepe Danquart,5.2,Pepe Danquart,21.0,1955,0,38
Green Dolphin Street,Drama,1947,tt0039437,nm0767701,Victor Saville,5.4,Victor Saville,36.0,1895,1979,52
Nell,Other,1994,tt0110638,nm0000776,Michael Apted,4.8,Michael Apted,153.0,1941,2021,53
Pelli Naati Pramanalu,Drama,1958,tt0261167,nm0714762,Kadiri Venkata Reddy,4.7,Kadiri Venkata Reddy,17.0,1912,1972,46
Monkey Business,Family,1952,tt0044916,nm0001328,Howard Hawks,4.8,Howard Hawks,39.0,1896,1977,56
The Teacher,Drama,1974,tt0072260,nm0042849,Howard Avedis,4.2,Howard Avedis,16.0,1927,2017,47
Someone to Watch Over Me,Drama,1987,tt0094008,nm0000631,Ridley Scott,4.2,Ridley Scott,62.0,1937,0,50
