Movie_name,Top_genres,Release_Date,tconst,nconst,Director_name,Successful,director_name,num_movies,birth_year,death_year,Director_age
Monsters Crash the Pajama Party,Other,1965,tt0059466,nm0382019,David L. Hewitt,4.2,David L. Hewitt,9.0,1939,0,26
The Careless Years,Drama,1957,tt0050229,nm0002137,Arthur Hiller,4.4,Arthur Hiller,173.0,1923,2016,34
Red Beard,Drama,1965,tt0058888,nm0000041,Akira Kurosawa,4.9,Akira Kurosawa,32.0,1910,1998,55
Cyrano Agency,Drama,2010,tt1786668,nm0453477,Hyun-seok Kim,4.8,Hyun-seok Kim,7.0,1972,0,38
Knife in the Water,Drama,1962,tt0056291,nm0000591,Roman Polanski,4.7,Roman Polanski,36.0,1933,0,29
The Impatient Patient,Other,1942,tt0034888,nm0564495,Norm McCabe,4.6,Norm McCabe,18.0,1911,2006,31
Amador,Drama,2010,tt1477171,nm0508208,Fernando León de Aranoa,4.6,Fernando León de Aranoa,13.0,1968,0,42
Salvage with a Smile,Other,1940,tt1873602,nm0116103,Adrian Brunel,4.5,Adrian Brunel,46.0,1892,1958,48
Squibs,Family,1935,tt0027037,nm0250038,Henry Edwards,4.4,Henry Edwards,67.0,1882,1952,53
George and Mildred,Other,1980,tt0138464,nm0292545,Peter Frazer-Jones,4.4,Peter Frazer-Jones,440.0,1930,2005,50
Kireedam,Action/Adventure,1989,tt0237376,nm0539034,Sibi Malayil,5.1,Sibi Malayil,50.0,1956,0,33
Crime Doctor,Drama,1943,tt0035766,nm0330456,Michael Gordon,4.5,Michael Gordon,30.0,1909,1993,34
Kadosh,Drama,1999,tt0189630,nm0321159,Amos Gitai,4.6,Amos Gitai,63.0,1950,0,49
College Coach,Drama,1933,tt0023899,nm0920074,William A. Wellman,4.4,William A. Wellman,74.0,1896,1975,37
Anbe Vaa,Family,1966,tt0370279,nm0858235,A.C. Trilogchander,4.7,A.C. Trilogchander,43.0,1930,2016,36
Grace of My Heart,Family,1996,tt0116442,nm0025978,Allison Anders,4.6,Allison Anders,46.0,1954,0,42
Images,Drama,1972,tt0068732,nm0000265,Robert Altman,4.7,Robert Altman,213.0,1925,2006,47
How They Get There,Other,1997,tt0351080,nm0005069,Spike Jonze,4.7,Spike Jonze,31.0,1969,0,28
God's Gift to Women,Family,1931,tt0021917,nm0002031,Michael Curtiz,4.2,Michael Curtiz,171.0,1886,1962,45
The Gorgon,Drama,1964,tt0058155,nm0279807,Terence Fisher,4.5,Terence Fisher,87.0,1904,1980,60
The Prime of Miss Jean Brodie,Drama,1969,tt0064840,nm0623768,Ronald Neame,5.3,Ronald Neame,25.0,1911,2010,58
Sioux City,Drama,1994,tt0111199,nm0001617,Lou Diamond Phillips,4.4,Lou Diamond Phillips,15.0,1962,0,32
Count Your Blessings,Drama,1959,tt0052706,nm0624535,Jean Negulesco,4.2,Jean Negulesco,81.0,1900,1993,59
Garage Days,Family,2002,tt0280696,nm0001639,Alex Proyas,4.4,Alex Proyas,22.0,1963,0,39
"Laugh, Clown, Laugh",Drama,1928,tt0019074,nm0107543,Herbert Brenon,4.7,Herbert Brenon,123.0,1880,1958,48
A Shot in the Dark,Family,1964,tt0058586,nm0001175,Blake Edwards,4.7,Blake Edwards,75.0,1922,2010,42
Half-Fare Hare,Other,1956,tt0049289,nm0571781,Robert McKimson,4.6,Robert McKimson,270.0,1910,1977,46
Shaft,Drama,1971,tt0067741,nm0662953,Gordon Parks,4.7,Gordon Parks,10.0,1912,2006,59
The Big Trees,Drama,1952,tt0044420,nm0270765,Felix E. Feist,4.4,Felix E. Feist,128.0,1910,1965,42
Betaab,Family,1983,tt0254179,nm0712541,Rahul Rawail,4.6,Rahul Rawail,20.0,1951,0,32
Bless the Child,Drama,2000,tt0163983,nm0751080,Chuck Russell,4.3,Chuck Russell,19.0,1958,0,42
Secrets,Drama,1924,tt0015312,nm0097648,Frank Borzage,4.5,Frank Borzage,107.0,1894,1962,30
The Program,Action/Adventure,1993,tt0107889,nm0911486,David S. Ward,4.8,David S. Ward,6.0,1945,0,48
Flesh,Drama,1968,tt0062979,nm0607407,Paul Morrissey,4.4,Paul Morrissey,22.0,1938,0,30
San Francisco,Drama,1936,tt0028216,nm0886754,W.S. Van Dyke,6.0,W.S. Van Dyke,80.0,1889,1943,47
13 Ghosts,Other,1960,tt0053559,nm0145336,William Castle,4.4,William Castle,79.0,1914,1977,46
The Emperor's Shadow,Drama,1996,tt0125994,nm0955777,Xiaowen Zhou,4.7,Xiaowen Zhou,14.0,1954,0,42
Aurore,Drama,2005,tt0430895,nm0227992,Luc Dionne,4.6,Luc Dionne,4.0,1960,0,45
Unforgivable,Drama,2011,tt1583737,nm0029242,André Téchiné,4.4,André Téchiné,35.0,1943,0,68
Movie Movie,Family,1978,tt0077952,nm0002045,Stanley Donen,4.6,Stanley Donen,26.0,1924,2019,54
Ente Mohangal Poovaninju,Drama,1982,tt0291891,nm0080143,Bhadran,4.4,Bhadran,16.0,1952,0,30
Ernest Goes to School,Family,1994,tt0109739,nm0760244,Coke Sams,4.1,Coke Sams,4.0,1945,0,49
Journey,Other,1972,tt0068774,nm0021975,Paul Almond,4.4,Paul Almond,141.0,1931,2015,41
Baba Kalyani,Action/Adventure,2006,tt0896909,nm0435050,Shaji Kailas,4.3,Shaji Kailas,49.0,1965,0,41
The Test,Action/Adventure,1935,tt0183879,nm0712748,Bernard B. Ray,4.3,Bernard B. Ray,38.0,1895,1964,40
Maanbumigu Maanavan,Other,1996,tt6823322,nm0151546,S.A. Chandrashekhar,4.6,S.A. Chandrashekhar,63.0,1945,0,51
British Agent,Drama,1934,tt0024915,nm0002031,Michael Curtiz,4.5,Michael Curtiz,171.0,1886,1962,48
Goldie,Drama,1931,tt0021920,nm0831577,Benjamin Stoloff,4.3,Benjamin Stoloff,97.0,1895,1960,36
Stage Beauty,Drama,2004,tt0368658,nm0264236,Richard Eyre,4.7,Richard Eyre,29.0,1943,0,61
Jefferson in Paris,Drama,1995,tt0113463,nm0412465,James Ivory,4.1,James Ivory,35.0,1928,0,67
The Way,Drama,2010,tt1441912,nm0000389,Emilio Estevez,4.8,Emilio Estevez,20.0,1962,0,48
Do Knot Disturb,Family,2009,tt1343362,nm0223522,David Dhawan,3.9,David Dhawan,46.0,1955,0,54
The Iron Lady,Drama,2011,tt1007029,nm1630273,Phyllida Lloyd,5.6,Phyllida Lloyd,10.0,1957,0,54
Dawn of the Mummy,Horror,1981,tt0082237,nm0013261,Frank Agrama,3.9,Frank Agrama,13.0,1930,2023,51
The 39 Steps,Drama,1959,tt0053354,nm0859387,Ralph Thomas,4.6,Ralph Thomas,40.0,1915,2001,44
Next,Drama,2007,tt0435705,nm0848414,Lee Tamahori,4.6,Lee Tamahori,17.0,1950,0,57
The Lady Vanishes,Drama,1938,tt0030341,nm0000033,Alfred Hitchcock,4.8,Alfred Hitchcock,81.0,1899,1980,39
Asoka,Family,2001,tt0249371,nm0007144,Santosh Sivan,4.1,Santosh Sivan,24.0,1964,0,37
Go Fish,Drama,1994,tt0109913,nm0873266,Rose Troche,4.4,Rose Troche,55.0,1964,0,30
The Contract,Drama,2006,tt0445946,nm0000915,Bruce Beresford,4.0,Bruce Beresford,59.0,1940,0,66
Ordinary Decent Criminal,Drama,2000,tt0160611,nm0642823,Thaddeus O'Sullivan,4.5,Thaddeus O'Sullivan,57.0,1947,0,53
A Wild Hare,Other,1940,tt0033260,nm0000813,Tex Avery,4.8,Tex Avery,195.0,1908,1980,32
Clash of the Titans,Action/Adventure,2010,tt0800320,nm0504642,Louis Leterrier,4.6,Louis Leterrier,47.0,1973,0,37
A King and His Movie,Drama,1986,tt0089794,nm0815044,Carlos Sorin,4.7,Carlos Sorin,15.0,1944,0,42
The Killers,Drama,1964,tt0058262,nm0796923,Don Siegel,4.7,Don Siegel,52.0,1912,1991,52
G.I. Jane,Action/Adventure,1997,tt0119173,nm0000631,Ridley Scott,4.6,Ridley Scott,62.0,1937,0,60
Too Outrageous!,Drama,1987,tt0094165,nm0071514,Richard Benner,4.5,Richard Benner,10.0,1943,1990,44
Snow Falling on Cedars,Drama,1999,tt0120834,nm0382956,Scott Hicks,4.3,Scott Hicks,35.0,1953,0,46
Chitty Chitty Bang Bang,Family,1968,tt0062803,nm0400731,Ken Hughes,4.4,Ken Hughes,37.0,1922,2001,46
Yanks,Drama,1979,tt0080157,nm0772259,John Schlesinger,4.5,John Schlesinger,28.0,1926,2003,53
Çok Filim Hareketler Bunlar,Other,2010,tt1640202,nm1560896,Ozan Açiktan,4.1,Ozan Açiktan,13.0,1978,0,32
Meet Wally Sparks,Family,1997,tt0119644,nm0049975,Peter Baldwin,4.3,Peter Baldwin,460.0,1931,2017,66
The Redhead from Wyoming,Action/Adventure,1953,tt0045077,nm0794793,Lee Sholem,4.6,Lee Sholem,169.0,1913,2000,40
Harlow,Drama,1965,tt0059252,nm0235066,Gordon Douglas,4.5,Gordon Douglas,95.0,1907,1993,58
Track 29,Other,1988,tt0096294,nm0001676,Nicolas Roeg,4.3,Nicolas Roeg,22.0,1928,2018,60
The Great Game,Drama,1953,tt0045838,nm0002061,Maurice Elvey,4.5,Maurice Elvey,195.0,1887,1967,66
Open Season 3,Family,2010,tt1646926,nm0970606,Cody Cameron,4.4,Cody Cameron,14.0,1970,0,40
Sabata,Action/Adventure,1969,tt0064916,nm0040789,Gianfranco Parolini,4.6,Gianfranco Parolini,25.0,1925,2018,44
Tanya's Island,Action/Adventure,1980,tt0083168,nm0812874,Alfred Sole,4.0,Alfred Sole,5.0,1943,2022,37
And God Created Woman,Drama,1988,tt0092559,nm0671862,Roger Vadim,4.1,Roger Vadim,29.0,1928,2000,60
Monster Dog,Horror,1984,tt0087616,nm0289576,Claudio Fragasso,4.1,Claudio Fragasso,24.0,1951,0,33
"Jeff, Who Lives at Home",Other,2011,tt1588334,nm0243231,Jay Duplass,4.4,Jay Duplass,34.0,1973,0,38
Aar-Paar,Family,1954,tt0046673,nm0244870,Guru Dutt,4.6,Guru Dutt,8.0,1925,1964,29
Aparan,Drama,1988,tt0248673,nm0655802,P. Padmarajan,4.9,P. Padmarajan,18.0,1945,1991,43
The Man in Grey,Drama,1943,tt0036135,nm0035199,Leslie Arliss,4.6,Leslie Arliss,67.0,1901,1987,42
Betty Boop's May Party,Other,1933,tt0023802,nm0281487,Dave Fleischer,4.6,Dave Fleischer,592.0,1894,1979,39
A Single Man,Drama,2009,tt1315981,nm1053530,Tom Ford,5.0,Tom Ford,3.0,1961,0,48
The Mortal Storm,Drama,1940,tt0032811,nm0097648,Frank Borzage,4.8,Frank Borzage,107.0,1894,1962,46
No Time for Sergeants,Drama,1958,tt0052005,nm0503777,Mervyn LeRoy,4.8,Mervyn LeRoy,76.0,1900,1987,58
Pies and Guys,Other,1958,tt0052069,nm0925028,Jules White,4.4,Jules White,296.0,1900,1985,58
Jekyll and Hyde... Together Again,Family,1982,tt0084171,nm0069547,Jerry Belson,4.4,Jerry Belson,12.0,1938,2006,44
Rendezvous,Other,1935,tt0026922,nm0397678,William K. Howard,4.6,William K. Howard,52.0,1893,1954,42
Abhilasha,Other,1983,tt0245682,nm0004630,A. Kodandarami Reddy,4.8,A. Kodandarami Reddy,75.0,1950,0,33
Tora-san's Dream-Come-True,Other,1972,tt0069052,nm0945282,Yôji Yamada,4.6,Yôji Yamada,91.0,1931,0,41
If Winter Comes,Other,1947,tt0039486,nm0767701,Victor Saville,4.5,Victor Saville,36.0,1895,1979,52
Istoria mias zois,Other,1965,tt0196645,nm0197929,Giannis Dalianidis,4.5,Giannis Dalianidis,608.0,1923,2010,42
Pink Suds,Other,1979,tt0170392,nm0204190,Arthur Davis,4.4,Arthur Davis,359.0,1905,2000,74
Nice Guy Johnny,Family,2010,tt1619037,nm0122653,Edward Burns,4.5,Edward Burns,38.0,1968,0,42
Bangkok Dangerous,Drama,2008,tt0814022,nm0659380,Danny Pang,4.5,Danny Pang,25.0,1965,0,43
Charro!,Action/Adventure,1969,tt0064155,nm0912766,Charles Marquis Warren,4.4,Charles Marquis Warren,52.0,1912,1990,57
Seenu,Other,2000,tt14787854,nm0890864,P. Vasu,4.3,P. Vasu,55.0,1954,0,46
The House of Mirth,Drama,2000,tt0200720,nm0203993,Terence Davies,4.4,Terence Davies,16.0,1945,2023,55
Boogie-Woogie Dream,Other,1944,tt0036661,nm0121200,Hans Burger,4.7,Hans Burger,12.0,1909,1990,35
The Magic Hour,Family,2008,tt1077089,nm0593056,Kôki Mitani,4.7,Kôki Mitani,17.0,1961,0,47
Outland,Drama,1981,tt0082869,nm0001382,Peter Hyams,3.8,Peter Hyams,24.0,1943,0,38
Cinderella,Family,1950,tt0042332,nm0527217,Hamilton Luske,4.9,Hamilton Luske,53.0,1903,1968,47
Vincent,Other,1982,tt0084868,nm0000318,Tim Burton,4.9,Tim Burton,50.0,1958,0,24
Cash,Drama,2007,tt0872190,nm1025280,Anubhav Sinha,3.9,Anubhav Sinha,20.0,1965,0,42
Sleeping Beauties,Other,1999,tt0187514,nm0044803,Jamie Babbit,4.6,Jamie Babbit,180.0,1970,0,29
Petersen,Other,1974,tt0071991,nm0123364,Tim Burstall,4.7,Tim Burstall,59.0,1927,2004,47
My Fair Lady,Family,1964,tt0058385,nm0002030,George Cukor,8.9,George Cukor,53.0,1899,1983,65
The House of Yes,Drama,1997,tt0119324,nm0914132,Mark Waters,4.5,Mark Waters,27.0,1964,0,33
Gift Wrapped,Other,1952,tt0044659,nm0293989,Friz Freleng,4.7,Friz Freleng,423.0,1904,1995,48
Female Prisoner Scorpion: Beast Stable,Drama,1973,tt0226875,nm0411746,Shun'ya Itô,4.7,Shun'ya Itô,14.0,1937,0,36
Maurie,Drama,1973,tt0070377,nm0542702,Daniel Mann,4.8,Daniel Mann,31.0,1912,1991,61
The Committee,Family,1968,tt0062820,nm0843089,Peter Sykes,4.4,Peter Sykes,30.0,1939,2006,29
Brother Orchid,Drama,1940,tt0032285,nm0045800,Lloyd Bacon,4.7,Lloyd Bacon,129.0,1889,1955,51
Day of Wrath,Drama,1943,tt0036506,nm0003433,Carl Theodor Dreyer,4.9,Carl Theodor Dreyer,22.0,1889,1968,54
Father Came Too!,Other,1964,tt0057055,nm0779670,Peter Graham Scott,4.5,Peter Graham Scott,156.0,1923,2007,41
The Sure Thing,Family,1985,tt0090103,nm0001661,Rob Reiner,4.9,Rob Reiner,29.0,1947,0,38
Salaam Bombay!,Drama,1988,tt0096028,nm0619762,Mira Nair,4.9,Mira Nair,30.0,1957,0,31
Big Bad Mama,Action/Adventure,1974,tt0071216,nm0142587,Steve Carver,4.6,Steve Carver,15.0,1945,2021,29
Frightmare,Horror,1974,tt0071523,nm0908103,Pete Walker,4.5,Pete Walker,35.0,1939,0,35
Old Sequoia,Other,1945,tt0037958,nm0454790,Jack King,4.6,Jack King,81.0,1895,1958,50
Meu Tio Matou Um Cara,Family,2004,tt0416979,nm0299134,Jorge Furtado,4.6,Jorge Furtado,35.0,1959,0,45
Eyes of a Stranger,Drama,1981,tt0082352,nm0927296,Ken Wiederhorn,4.4,Ken Wiederhorn,24.0,1945,0,36
The Red Lily,Drama,1924,tt0015268,nm0629243,Fred Niblo,4.7,Fred Niblo,43.0,1874,1948,50
