IMDb nconst,nconst,name,birthYear,deathYear,category,first_roles,second_roles,third_roles,fourth_roles,total_roles,age
nm0005460,nm0005460,Mary Steenburgen,1953,\N,F,12.0,65.0,22.0,17.0,116.0,70.0
nm0000112,nm0000112,Pierce Brosnan,1953,\N,M,93.0,113.0,5.0,2.0,213.0,70.0
nm0000597,nm0000597,Bill Pullman,1953,\N,M,50.0,19.0,12.0,9.0,90.0,70.0
nm0001354,nm0001354,Ciarán Hinds,1953,\N,M,19.0,23.0,21.0,15.0,78.0,70.0
nm0001573,nm0001573,Catherine O'Hara,1954,\N,F,23.0,123.0,12.0,20.0,178.0,69.0
nm0000329,nm0000329,Jackie Chan,1954,\N,M,80.0,5.0,4.0,5.0,94.0,69.0
nm0000165,nm0000165,Ron Howard,1954,\N,M,162.0,244.0,19.0,19.0,444.0,69.0
nm0000237,nm0000237,John Travolta,1954,\N,M,49.0,22.0,3.0,2.0,76.0,69.0
nm0000243,nm0000243,Denzel Washington,1954,\N,M,49.0,7.0,1.0,1.0,58.0,69.0
nm0234538,nm0234538,Karen Dotrice,1955,\N,F,0.0,0.0,1.0,4.0,5.0,68.0
nm0000126,nm0000126,Kevin Costner,1955,\N,M,102.0,7.0,3.0,3.0,115.0,68.0
nm0000100,nm0000100,Rowan Atkinson,1955,\N,M,201.0,10.0,6.0,4.0,221.0,68.0
nm0000700,nm0000700,Debra Winger,1955,\N,F,11.0,33.0,54.0,2.0,100.0,68.0
nm0740264,nm0740264,Michael Rooker,1955,\N,M,21.0,6.0,15.0,16.0,58.0,68.0
nm0000671,nm0000671,Billy Bob Thornton,1955,\N,M,70.0,16.0,13.0,5.0,104.0,68.0
nm0000246,nm0000246,Bruce Willis,1955,\N,M,56.0,102.0,8.0,7.0,173.0,68.0
nm0582418,nm0582418,Laurie Metcalf,1955,\N,F,23.0,152.0,232.0,6.0,413.0,68.0
nm0187724,nm0187724,Wendy Crewson,1956,\N,F,46.0,38.0,28.0,19.0,131.0,67.0
nm0910607,nm0910607,Christoph Waltz,1956,\N,M,43.0,34.0,27.0,14.0,118.0,67.0
nm0186505,nm0186505,Bryan Cranston,1956,\N,M,161.0,168.0,87.0,16.0,432.0,67.0
nm0000154,nm0000154,Mel Gibson,1956,\N,M,52.0,10.0,5.0,2.0,69.0,67.0
nm0000158,nm0000158,Tom Hanks,1956,\N,M,94.0,14.0,4.0,1.0,113.0,67.0
nm0001688,nm0001688,Alan Ruck,1956,\N,M,18.0,5.0,93.0,61.0,177.0,67.0
nm0827663,nm0827663,Daniel Stern,1957,\N,M,45.0,10.0,9.0,7.0,71.0,66.0
nm0000531,nm0000531,Frances McDormand,1957,\N,F,17.0,26.0,8.0,3.0,54.0,66.0
nm0000358,nm0000358,Daniel Day-Lewis,1957,\N,M,21.0,2.0,2.0,1.0,26.0,66.0
nm0439001,nm0439001,Kym Karath,1958,\N,F,0.0,1.0,1.0,0.0,2.0,65.0
nm0000130,nm0000130,Jamie Lee Curtis,1958,\N,F,57.0,21.0,6.0,5.0,89.0,65.0
nm0000510,nm0000510,Andie MacDowell,1958,\N,F,58.0,20.0,11.0,22.0,111.0,65.0
nm0000201,nm0000201,Michelle Pfeiffer,1958,\N,F,17.0,31.0,14.0,7.0,69.0,65.0
nm0000102,nm0000102,Kevin Bacon,1958,\N,M,125.0,15.0,7.0,9.0,156.0,65.0
nm0000318,nm0000318,Tim Burton,1958,\N,M,2.0,1.0,0.0,0.0,3.0,65.0
nm0001557,nm0001557,Viggo Mortensen,1958,\N,M,22.0,12.0,6.0,3.0,43.0,65.0
nm0000456,nm0000456,Holly Hunter,1958,\N,F,61.0,43.0,10.0,2.0,116.0,65.0
nm0000220,nm0000220,Joan Severance,1958,\N,F,6.0,12.0,11.0,3.0,32.0,65.0
nm0132257,nm0132257,Bruce Campbell,1958,\N,M,112.0,15.0,58.0,83.0,268.0,65.0
nm0000198,nm0000198,Gary Oldman,1958,\N,M,47.0,25.0,19.0,6.0,97.0,65.0
nm0134922,nm0134922,Peter Capaldi,1958,\N,M,110.0,30.0,16.0,11.0,167.0,65.0
nm0925966,nm0925966,Bradley Whitford,1959,\N,M,46.0,34.0,39.0,30.0,149.0,64.0
nm0000228,nm0000228,Kevin Spacey,1959,\N,M,110.0,18.0,14.0,5.0,147.0,64.0
nm0000668,nm0000668,Emma Thompson,1959,\N,F,20.0,24.0,10.0,3.0,57.0,64.0
nm0005049,nm0005049,Allison Janney,1959,\N,F,29.0,178.0,115.0,63.0,385.0,64.0
nm0000707,nm0000707,Sean Young,1959,\N,F,47.0,20.0,17.0,13.0,97.0,64.0
nm0780678,nm0780678,Nick Searcy,1959,\N,M,9.0,81.0,56.0,33.0,179.0,64.0
nm0000174,nm0000174,Val Kilmer,1959,\N,M,38.0,16.0,5.0,11.0,70.0,64.0
nm0000352,nm0000352,Vincent D'Onofrio,1959,\N,M,149.0,29.0,15.0,23.0,216.0,64.0
nm0001416,nm0001416,Catherine Keener,1959,\N,F,10.0,21.0,23.0,10.0,64.0,64.0
nm0397212,nm0397212,Clint Howard,1959,\N,M,9.0,17.0,13.0,11.0,50.0,64.0
nm0842770,nm0842770,Tilda Swinton,1960,\N,F,46.0,20.0,14.0,2.0,82.0,63.0
nm0000147,nm0000147,Colin Firth,1960,\N,M,47.0,24.0,8.0,6.0,85.0,63.0
nm0000194,nm0000194,Julianne Moore,1960,\N,F,36.0,25.0,15.0,6.0,82.0,63.0
nm0000652,nm0000652,James Spader,1960,\N,M,338.0,10.0,2.0,8.0,358.0,63.0
nm0000110,nm0000110,Kenneth Branagh,1960,\N,M,103.0,22.0,17.0,6.0,148.0,63.0
nm0427964,nm0427964,Doug Jones,1960,\N,M,33.0,86.0,19.0,19.0,157.0,63.0
nm0001610,nm0001610,Elizabeth Perkins,1960,\N,F,8.0,101.0,5.0,7.0,121.0,63.0
nm0000424,nm0000424,Hugh Grant,1960,\N,M,25.0,15.0,9.0,3.0,52.0,63.0
nm0000426,nm0000426,Jennifer Grey,1960,\N,F,7.0,27.0,3.0,3.0,40.0,63.0
nm0753314,nm0753314,Mark Rylance,1960,\N,M,15.0,18.0,21.0,34.0,88.0,63.0
nm0000435,nm0000435,Daryl Hannah,1960,\N,F,22.0,29.0,13.0,15.0,79.0,63.0
nm0000241,nm0000241,Jean-Claude Van Damme,1960,\N,M,51.0,6.0,2.0,4.0,63.0,63.0
nm0000150,nm0000150,Michael J. Fox,1961,\N,M,149.0,3.0,125.0,2.0,279.0,62.0
nm0000212,nm0000212,Meg Ryan,1961,\N,F,17.0,21.0,6.0,1.0,45.0,62.0
nm0001372,nm0001372,Bonnie Hunt,1961,\N,F,62.0,35.0,16.0,13.0,126.0,62.0
nm0000562,nm0000562,Jeremy Northam,1961,\N,M,18.0,11.0,6.0,7.0,42.0,62.0
nm0000552,nm0000552,Eddie Murphy,1961,\N,M,61.0,17.0,5.0,1.0,84.0,62.0
nm0000670,nm0000670,Lea Thompson,1961,\N,F,125.0,13.0,11.0,7.0,156.0,62.0
nm0000123,nm0000123,George Clooney,1961,\N,M,40.0,126.0,7.0,1.0,174.0,62.0
nm0001392,nm0001392,Peter Jackson,1961,\N,M,1.0,0.0,1.0,1.0,3.0,62.0
nm0000437,nm0000437,Woody Harrelson,1961,\N,M,48.0,28.0,15.0,12.0,103.0,62.0
nm0001518,nm0001518,Dylan McDermott,1961,\N,M,233.0,11.0,11.0,6.0,261.0,62.0
nm0000120,nm0000120,Jim Carrey,1962,\N,M,105.0,82.0,4.0,3.0,194.0,61.0
nm0000193,nm0000193,Demi Moore,1962,\N,F,18.0,16.0,10.0,5.0,49.0,61.0
nm0745186,nm0745186,Teryl Rothery,1962,\N,F,3.0,59.0,56.0,17.0,135.0,61.0
nm0001281,nm0001281,Bobcat Goldthwait,1962,\N,M,10.0,6.0,10.0,13.0,39.0,61.0
nm0136797,nm0136797,Steve Carell,1962,\N,M,201.0,9.0,24.0,14.0,248.0,61.0
nm0000144,nm0000144,Cary Elwes,1962,\N,M,18.0,22.0,31.0,15.0,86.0,61.0
nm0000149,nm0000149,Jodie Foster,1962,\N,F,30.0,27.0,3.0,16.0,76.0,61.0
nm0000146,nm0000146,Ralph Fiennes,1962,\N,M,29.0,18.0,10.0,7.0,64.0,61.0
nm0000492,nm0000492,Jennifer Jason Leigh,1962,\N,F,51.0,35.0,18.0,9.0,113.0,61.0
nm0000639,nm0000639,Ally Sheedy,1962,\N,F,23.0,12.0,7.0,7.0,49.0,61.0
nm0000129,nm0000129,Tom Cruise,1962,\N,M,40.0,5.0,2.0,1.0,48.0,61.0
nm0000121,nm0000121,Phoebe Cates,1963,\N,F,5.0,5.0,3.0,3.0,16.0,60.0
nm0000233,nm0000233,Quentin Tarantino,1963,\N,M,2.0,3.0,4.0,1.0,10.0,60.0
nm0001614,nm0001614,Lori Petty,1963,\N,F,13.0,10.0,13.0,6.0,42.0,60.0
nm0005042,nm0005042,Jason Isaacs,1963,\N,M,78.0,36.0,18.0,13.0,145.0,60.0
nm0000136,nm0000136,Johnny Depp,1963,\N,M,223.0,14.0,7.0,3.0,247.0,60.0
nm0000166,nm0000166,Helen Hunt,1963,\N,F,13.0,190.0,24.0,10.0,237.0,60.0
nm0000667,nm0000667,David Thewlis,1963,\N,M,20.0,26.0,22.0,31.0,99.0,60.0
nm0835016,nm0835016,Mark Strong,1963,\N,M,70.0,21.0,19.0,14.0,124.0,60.0
nm0000093,nm0000093,Brad Pitt,1963,\N,M,41.0,21.0,7.0,6.0,75.0,60.0
nm0000223,nm0000223,Elisabeth Shue,1963,\N,F,7.0,101.0,28.0,4.0,140.0,60.0
nm0000551,nm0000551,Dermot Mulroney,1963,\N,M,65.0,19.0,32.0,16.0,132.0,60.0
nm0115152,nm0115152,Chris Browning,1964,\N,M,10.0,20.0,11.0,10.0,51.0,59.0
nm0001073,nm0001073,Courteney Cox,1964,\N,F,145.0,249.0,8.0,18.0,420.0,59.0
nm0002090,nm0002090,Zach Galligan,1964,\N,M,25.0,1.0,10.0,5.0,41.0,59.0
nm0000115,nm0000115,Nicolas Cage,1964,\N,M,85.0,14.0,6.0,0.0,105.0,59.0
nm0000128,nm0000128,Russell Crowe,1964,\N,M,50.0,16.0,4.0,4.0,74.0,59.0
nm0000206,nm0000206,Keanu Reeves,1964,\N,M,50.0,18.0,8.0,7.0,83.0,59.0
nm0000463,nm0000463,Famke Janssen,1964,\N,F,51.0,12.0,11.0,10.0,84.0,59.0
nm0000899,nm0000899,Monica Bellucci,1964,\N,F,26.0,22.0,8.0,11.0,67.0,59.0
nm0868219,nm0868219,Guillermo del Toro,1964,\N,M,2.0,2.0,0.0,2.0,6.0,59.0
nm0521753,nm0521753,Lori Loughlin,1964,\N,F,54.0,26.0,11.0,4.0,95.0,59.0
nm0785227,nm0785227,Andy Serkis,1964,\N,M,26.0,15.0,8.0,8.0,57.0,59.0
nm0000571,nm0000571,Mary-Louise Parker,1964,\N,F,110.0,15.0,15.0,9.0,149.0,59.0
nm0000113,nm0000113,Sandra Bullock,1964,\N,F,33.0,9.0,5.0,5.0,52.0,59.0
nm0000673,nm0000673,Marisa Tomei,1964,\N,F,12.0,37.0,17.0,8.0,74.0,59.0
nm0001473,nm0001473,Laura Linney,1964,\N,F,60.0,72.0,15.0,12.0,159.0,59.0
nm0000417,nm0000417,Crispin Glover,1964,\N,M,15.0,9.0,25.0,8.0,57.0,59.0
nm0000145,nm0000145,Sherilyn Fenn,1965,\N,F,35.0,13.0,11.0,12.0,71.0,58.0
nm0000178,nm0000178,Diane Lane,1965,\N,F,32.0,22.0,15.0,10.0,79.0,58.0
nm0001110,nm0001110,Embeth Davidtz,1965,\N,F,5.0,12.0,7.0,9.0,33.0,58.0
nm0586568,nm0586568,Mads Mikkelsen,1965,\N,M,33.0,56.0,5.0,3.0,97.0,58.0
nm0591703,nm0591703,Kristin Minter,1965,\N,F,3.0,13.0,5.0,8.0,29.0,58.0
nm0000375,nm0000375,Robert Downey Jr.,1965,\N,M,38.0,31.0,15.0,2.0,86.0,58.0
nm0000566,nm0000566,Julia Ormond,1965,\N,F,39.0,18.0,4.0,15.0,76.0,58.0
nm0001567,nm0001567,Connie Nielsen,1965,\N,F,41.0,20.0,26.0,9.0,96.0,58.0
nm0001774,nm0001774,Ben Stiller,1965,\N,M,36.0,12.0,7.0,4.0,59.0,58.0
nm0000307,nm0000307,Helena Bonham Carter,1966,\N,F,47.0,25.0,24.0,8.0,104.0,57.0
nm0130191,nm0130191,Eva LaRue,1966,\N,F,8.0,11.0,12.0,6.0,37.0,57.0
nm0309693,nm0309693,Mark Gatiss,1966,\N,M,35.0,25.0,14.0,12.0,86.0,57.0
nm0000161,nm0000161,Salma Hayek,1966,\N,F,12.0,28.0,14.0,82.0,136.0,57.0
nm0604742,nm0604742,Jeffrey Dean Morgan,1966,\N,M,34.0,24.0,8.0,22.0,88.0,57.0
nm0269463,nm0269463,Jon Favreau,1966,\N,M,5.0,9.0,8.0,6.0,28.0,57.0
nm0001191,nm0001191,Adam Sandler,1966,\N,M,48.0,3.0,8.0,1.0,60.0,57.0
nm0385792,nm0385792,Marin Hinkle,1966,\N,F,1.0,5.0,5.0,122.0,133.0,57.0
nm0853140,nm0853140,Sandra Taylor,1966,\N,F,1.0,0.0,1.0,0.0,2.0,57.0
nm0000495,nm0000495,Téa Leoni,1966,\N,F,138.0,31.0,4.0,1.0,174.0,57.0
nm0000705,nm0000705,Robin Wright,1966,\N,F,26.0,73.0,10.0,7.0,116.0,57.0
nm0000214,nm0000214,Mia Sara,1967,\N,F,3.0,10.0,16.0,2.0,31.0,56.0
nm0002071,nm0002071,Will Ferrell,1967,\N,M,96.0,121.0,26.0,9.0,252.0,56.0
nm0005458,nm0005458,Jason Statham,1967,\N,M,31.0,10.0,5.0,7.0,53.0,56.0
nm0004874,nm0004874,Vin Diesel,1967,\N,M,46.0,4.0,2.0,3.0,55.0,56.0
nm0000227,nm0000227,Mira Sorvino,1967,\N,F,28.0,26.0,20.0,15.0,89.0,56.0
nm0001722,nm0001722,Rufus Sewell,1967,\N,M,33.0,38.0,10.0,8.0,89.0,56.0
nm0000210,nm0000210,Julia Roberts,1967,\N,F,47.0,13.0,11.0,4.0,75.0,56.0
nm0001125,nm0001125,Benicio Del Toro,1967,\N,M,19.0,12.0,4.0,6.0,41.0,56.0
nm0000368,nm0000368,Laura Dern,1967,\N,F,38.0,61.0,11.0,18.0,128.0,56.0
nm0001833,nm0001833,Emily Watson,1967,\N,F,25.0,14.0,19.0,3.0,61.0,56.0
nm0334179,nm0334179,Lauren Graham,1967,\N,F,183.0,123.0,21.0,17.0,344.0,56.0
nm0000956,nm0000956,Lisa Bonet,1967,\N,F,24.0,3.0,29.0,55.0,111.0,56.0
nm0000173,nm0000173,Nicole Kidman,1967,\N,F,62.0,59.0,10.0,4.0,135.0,56.0
nm0005377,nm0005377,Sam Rockwell,1968,\N,M,35.0,11.0,12.0,7.0,65.0,55.0
nm0648249,nm0648249,Timothy Olyphant,1968,\N,M,138.0,28.0,7.0,7.0,180.0,55.0
nm0413168,nm0413168,Hugh Jackman,1968,\N,M,23.0,28.0,5.0,10.0,66.0,55.0
nm0155693,nm0155693,Kristin Chenoweth,1968,\N,F,22.0,28.0,23.0,5.0,78.0,55.0
nm0005562,nm0005562,Owen Wilson,1968,\N,M,21.0,25.0,17.0,3.0,66.0,55.0
nm0000982,nm0000982,Josh Brolin,1968,\N,M,35.0,84.0,8.0,10.0,137.0,55.0
nm0005128,nm0005128,Lucy Lawless,1968,\N,F,175.0,3.0,8.0,8.0,194.0,55.0
nm0004826,nm0004826,Helena Christensen,1968,\N,F,0.0,2.0,0.0,1.0,3.0,55.0
nm0000409,nm0000409,Brendan Fraser,1968,\N,M,34.0,9.0,15.0,2.0,60.0,55.0
nm0185819,nm0185819,Daniel Craig,1968,\N,M,38.0,16.0,5.0,2.0,61.0,55.0
nm0000539,nm0000539,Dina Meyer,1968,\N,F,17.0,37.0,11.0,1.0,66.0,55.0
nm0000096,nm0000096,Gillian Anderson,1968,\N,F,76.0,236.0,17.0,22.0,351.0,55.0
nm0777432,nm0777432,Scott Schwartz,1968,\N,M,1.0,6.0,1.0,5.0,13.0,55.0
nm0836121,nm0836121,Michael Stuhlbarg,1968,\N,M,3.0,4.0,19.0,11.0,37.0,55.0
nm0318821,nm0318821,Aidan Gillen,1968,\N,M,69.0,16.0,30.0,36.0,151.0,55.0
nm0915208,nm0915208,Naomi Watts,1968,\N,F,55.0,12.0,11.0,7.0,85.0,55.0
nm0158632,nm0158632,Margaret Cho,1968,\N,F,37.0,96.0,19.0,8.0,160.0,55.0
nm0000226,nm0000226,Will Smith,1968,\N,M,181.0,7.0,4.0,0.0,192.0,55.0
nm0000208,nm0000208,Molly Ringwald,1968,\N,F,33.0,14.0,12.0,5.0,64.0,55.0
nm0124930,nm0124930,Gerard Butler,1969,\N,M,32.0,16.0,6.0,15.0,69.0,54.0
nm0085312,nm0085312,Jack Black,1969,\N,M,91.0,26.0,9.0,12.0,138.0,54.0
nm1176985,nm1176985,Dave Bautista,1969,\N,M,101.0,67.0,31.0,23.0,222.0,54.0
nm0000098,nm0000098,Jennifer Aniston,1969,\N,F,290.0,38.0,14.0,12.0,354.0,54.0
nm0623085,nm0623085,Andrea Navedo,1969,\N,F,5.0,100.0,3.0,3.0,111.0,54.0
nm0001523,nm0001523,Natascha McElhone,1969,\N,F,8.0,141.0,8.0,2.0,159.0,54.0
nm0578853,nm0578853,Ben Mendelsohn,1969,\N,M,20.0,48.0,14.0,21.0,103.0,54.0
nm0790688,nm0790688,Michael Sheen,1969,\N,M,79.0,23.0,14.0,7.0,123.0,54.0
nm0001876,nm0001876,Catherine Zeta-Jones,1969,\N,F,18.0,12.0,5.0,22.0,57.0,54.0
nm0001785,nm0001785,Kristy Swanson,1969,\N,F,21.0,22.0,31.0,4.0,78.0,54.0
nm0227759,nm0227759,Peter Dinklage,1969,\N,M,85.0,13.0,7.0,7.0,112.0,54.0
nm0000949,nm0000949,Cate Blanchett,1969,\N,F,53.0,34.0,9.0,8.0,104.0,54.0
nm0108295,nm0108295,Paget Brewster,1969,\N,F,51.0,215.0,62.0,11.0,339.0,54.0
nm0000867,nm0000867,Jason Bateman,1969,\N,M,188.0,100.0,13.0,10.0,311.0,54.0
nm0000849,nm0000849,Javier Bardem,1969,\N,M,25.0,11.0,8.0,4.0,48.0,54.0
nm0001570,nm0001570,Edward Norton,1969,\N,M,15.0,14.0,7.0,3.0,39.0,54.0
nm0000143,nm0000143,Erika Eleniak,1969,\N,F,21.0,12.0,27.0,6.0,66.0,54.0
nm1018488,nm1018488,Wendi McLendon-Covey,1969,\N,F,238.0,7.0,12.0,27.0,284.0,54.0
nm0000383,nm0000383,Jennifer Ehle,1969,\N,F,6.0,25.0,8.0,12.0,51.0,54.0
nm0000190,nm0000190,Matthew McConaughey,1969,\N,M,58.0,15.0,6.0,5.0,84.0,54.0
nm0000250,nm0000250,Renée Zellweger,1969,\N,F,24.0,13.0,7.0,1.0,45.0,54.0
nm0748620,nm0748620,Paul Rudd,1969,\N,M,39.0,29.0,11.0,9.0,88.0,54.0
nm0027572,nm0027572,Wes Anderson,1969,\N,M,0.0,1.0,0.0,0.0,1.0,54.0
nm0878768,nm0878768,Aisha Tyler,1970,\N,F,3.0,38.0,11.0,18.0,70.0,53.0
nm0000354,nm0000354,Matt Damon,1970,\N,M,53.0,22.0,6.0,3.0,84.0,53.0
nm0000749,nm0000749,Mädchen Amick,1970,\N,F,34.0,45.0,41.0,13.0,133.0,53.0
nm0005006,nm0005006,Elaine Hendrix,1970,\N,F,11.0,15.0,73.0,34.0,133.0,53.0
nm0634240,nm0634240,Christopher Nolan,1970,\N,M,0.0,2.0,0.0,0.0,2.0,53.0
nm0911933,nm0911933,Zack Ward,1970,\N,M,7.0,3.0,60.0,8.0,78.0,53.0
nm0378245,nm0378245,Taraji P. Henson,1970,\N,F,14.0,62.0,54.0,4.0,134.0,53.0
nm0001116,nm0001116,Warwick Davis,1970,\N,M,35.0,33.0,22.0,11.0,101.0,53.0
nm0000160,nm0000160,Ethan Hawke,1970,\N,M,48.0,18.0,13.0,5.0,84.0,53.0
nm0796117,nm0796117,M. Night Shyamalan,1970,\N,M,2.0,1.0,0.0,0.0,3.0,53.0
nm0001838,nm0001838,Rachel Weisz,1970,\N,F,23.0,18.0,9.0,4.0,54.0,53.0
nm0593310,nm0593310,Elizabeth Mitchell,1970,\N,F,44.0,27.0,18.0,11.0,100.0,53.0
nm0001287,nm0001287,Heather Graham,1970,\N,F,33.0,22.0,8.0,10.0,73.0,53.0
nm0000759,nm0000759,Paul Thomas Anderson,1970,\N,M,3.0,0.0,0.0,0.0,3.0,53.0
nm0565250,nm0565250,Melissa McCarthy,1970,\N,F,21.0,142.0,134.0,59.0,356.0,53.0
nm0001223,nm0001223,Lara Flynn Boyle,1970,\N,F,7.0,8.0,7.0,5.0,27.0,53.0
nm0134072,nm0134072,Bobby Cannavale,1970,\N,M,24.0,28.0,57.0,8.0,117.0,53.0
nm0182666,nm0182666,Nikolaj Coster-Waldau,1970,\N,M,32.0,50.0,23.0,2.0,107.0,53.0
nm0000124,nm0000124,Jennifer Connelly,1970,\N,F,35.0,17.0,9.0,5.0,66.0,53.0
nm0000681,nm0000681,Vince Vaughn,1970,\N,M,29.0,12.0,7.0,6.0,54.0,53.0
nm0001231,nm0001231,Claire Forlani,1971,\N,F,10.0,11.0,8.0,14.0,43.0,52.0
nm1679669,nm1679669,Rosemarie DeWitt,1971,\N,F,5.0,27.0,40.0,28.0,100.0,52.0
nm0355910,nm0355910,Michael C. Hall,1971,\N,M,142.0,81.0,8.0,6.0,237.0,52.0
nm0000775,nm0000775,Christina Applegate,1971,\N,F,154.0,14.0,7.0,187.0,362.0,52.0
nm0000213,nm0000213,Winona Ryder,1971,\N,F,62.0,13.0,9.0,3.0,87.0,52.0
