IMDb nconst,nconst,name,birthYear,deathYear,category,first_roles,second_roles,third_roles,fourth_roles,total_roles,age
nm0000142,nm0000142,Clint Eastwood,1930,\N,M,59.0,203.0,2.0,2.0,266.0,93.0
nm0000323,nm0000323,Michael Caine,1933,\N,M,70.0,24.0,15.0,9.0,118.0,90.0
nm0001132,nm0001132,Judi Dench,1934,\N,F,154.0,42.0,14.0,10.0,220.0,89.0
nm0001749,nm0001749,Maggie Smith,1934,\N,F,18.0,14.0,14.0,4.0,50.0,89.0
nm0002663,nm0002663,Diane Ladd,1935,\N,F,11.0,19.0,43.0,20.0,93.0,88.0
nm0000267,nm0000267,Julie Andrews,1935,\N,F,43.0,8.0,3.0,2.0,56.0,88.0
nm0000095,nm0000095,Woody Allen,1935,\N,M,39.0,4.0,1.0,1.0,45.0,88.0
nm0000164,nm0000164,Anthony Hopkins,1937,\N,M,63.0,36.0,13.0,7.0,119.0,86.0
nm0000151,nm0000151,Morgan Freeman,1937,\N,M,58.0,35.0,291.0,144.0,528.0,86.0
nm0000197,nm0000197,Jack Nicholson,1937,\N,M,34.0,10.0,8.0,4.0,56.0,86.0
nm0000631,nm0000631,Ridley Scott,1937,\N,M,0.0,1.0,0.0,0.0,1.0,86.0
nm0000404,nm0000404,Jane Fonda,1937,\N,F,126.0,27.0,10.0,8.0,171.0,86.0
nm0000502,nm0000502,Christopher Lloyd,1938,\N,M,64.0,44.0,55.0,69.0,232.0,85.0
nm0001684,nm0001684,Katharine Ross,1940,\N,F,12.0,14.0,56.0,7.0,89.0,83.0
nm0000199,nm0000199,Al Pacino,1940,\N,M,44.0,14.0,5.0,0.0,63.0,83.0
nm0000268,nm0000268,Ann-Margret,1941,\N,F,31.0,24.0,6.0,6.0,67.0,82.0
nm0103195,nm0103195,David Bradley,1942,\N,M,13.0,67.0,9.0,10.0,99.0,81.0
nm0000217,nm0000217,Martin Scorsese,1942,\N,M,2.0,0.0,1.0,4.0,7.0,81.0
nm0000148,nm0000148,Harrison Ford,1942,\N,M,38.0,24.0,7.0,3.0,72.0,81.0
nm0574534,nm0574534,Ian McShane,1942,\N,M,116.0,66.0,24.0,16.0,222.0,81.0
nm0000134,nm0000134,Robert De Niro,1943,\N,M,69.0,30.0,14.0,3.0,116.0,80.0
nm0000582,nm0000582,Joe Pesci,1943,\N,M,14.0,7.0,18.0,1.0,40.0,80.0
nm0000331,nm0000331,Chevy Chase,1943,\N,M,34.0,8.0,12.0,8.0,62.0,80.0
nm0000385,nm0000385,Sam Elliott,1944,\N,M,47.0,23.0,28.0,40.0,138.0,79.0
nm0000568,nm0000568,Frank Oz,1944,\N,M,17.0,153.0,28.0,21.0,219.0,79.0
nm0236519,nm0236519,Brian Doyle-Murray,1945,\N,M,29.0,78.0,66.0,31.0,204.0,78.0
nm0001475,nm0001475,John Lithgow,1945,\N,M,184.0,20.0,16.0,16.0,236.0,78.0
nm0000443,nm0000443,Goldie Hawn,1945,\N,F,15.0,12.0,6.0,1.0,34.0,78.0
nm0000230,nm0000230,Sylvester Stallone,1946,\N,M,69.0,12.0,1.0,3.0,85.0,77.0
nm0000347,nm0000347,Tim Curry,1946,\N,M,69.0,45.0,178.0,71.0,363.0,77.0
nm0000473,nm0000473,Diane Keaton,1946,\N,F,35.0,32.0,7.0,6.0,80.0,77.0
nm0000229,nm0000229,Steven Spielberg,1946,\N,M,4.0,0.0,0.0,0.0,4.0,77.0
nm0000216,nm0000216,Arnold Schwarzenegger,1947,\N,M,50.0,32.0,5.0,3.0,90.0,76.0
nm0001613,nm0001613,Bernadette Peters,1948,\N,F,8.0,38.0,23.0,20.0,89.0,75.0
nm0271763,nm0271763,Edwige Fenech,1948,\N,F,40.0,22.0,7.0,2.0,71.0,75.0
nm0000168,nm0000168,Samuel L. Jackson,1948,\N,M,66.0,43.0,21.0,10.0,140.0,75.0
nm0000889,nm0000889,Bonnie Bedelia,1948,\N,F,102.0,24.0,13.0,6.0,145.0,75.0
nm0631490,nm0631490,Bill Nighy,1949,\N,M,29.0,29.0,24.0,33.0,115.0,74.0
nm0000658,nm0000658,Meryl Streep,1949,\N,F,56.0,31.0,9.0,3.0,99.0,74.0
nm0000651,nm0000651,Sissy Spacek,1949,\N,F,31.0,13.0,8.0,6.0,58.0,74.0
nm0001448,nm0001448,Jessica Lange,1949,\N,F,24.0,18.0,7.0,4.0,53.0,74.0
nm0000313,nm0000313,Jeff Bridges,1949,\N,M,57.0,15.0,9.0,10.0,91.0,74.0
nm0001642,nm0001642,Randy Quaid,1950,\N,M,46.0,27.0,17.0,17.0,107.0,73.0
nm0423774,nm0423774,David Johansen,1950,\N,M,3.0,1.0,2.0,3.0,9.0,73.0
nm0000195,nm0000195,Bill Murray,1950,\N,M,27.0,6.0,16.0,21.0,70.0,73.0
nm0000261,nm0000261,Karen Allen,1951,\N,F,17.0,18.0,8.0,5.0,48.0,72.0
nm0001745,nm0001745,Stellan Skarsgård,1951,\N,M,41.0,20.0,25.0,13.0,99.0,72.0
nm0000621,nm0000621,Kurt Russell,1951,\N,M,52.0,44.0,8.0,9.0,113.0,72.0
nm0000350,nm0000350,Beverly D'Angelo,1951,\N,F,15.0,27.0,17.0,14.0,73.0,72.0
nm0000422,nm0000422,John Goodman,1952,\N,M,191.0,273.0,26.0,27.0,517.0,71.0
nm0000553,nm0000553,Liam Neeson,1952,\N,M,73.0,26.0,16.0,11.0,126.0,71.0
nm0004724,nm0004724,Christine Baranski,1952,\N,F,73.0,106.0,7.0,7.0,193.0,71.0
nm0142145,nm0142145,Angela Cartwright,1952,\N,F,2.0,1.0,3.0,213.0,219.0,71.0
nm0001406,nm0001406,Carol Kane,1952,\N,F,5.0,32.0,64.0,26.0,127.0,71.0
nm0000741,nm0000741,Tim Allen,1953,\N,M,407.0,14.0,3.0,0.0,424.0,70.0
