iter	RMSE
0	0.3801015882
1	0.3800729257
2	0.3800573538
3	0.3800312197
4	0.3800113703
5	0.3799964442
6	0.3799885455
7	0.3799616793
8	0.379920826
9	0.379896383
10	0.3798710982
11	0.3798347125
12	0.3798019915
13	0.379779102
14	0.379745299
15	0.3797183139
16	0.3797024543
17	0.379686419
18	0.3796595987
19	0.3796363895
20	0.3796162437
21	0.37959786
22	0.3795724294
23	0.3795436009
24	0.3795222555
25	0.37950481
26	0.3794824946
27	0.3794552478
28	0.3794256689
29	0.3793846008
30	0.3793639937
31	0.3793429444
32	0.3793293801
33	0.3793218373
34	0.3792996378
35	0.3792775172
36	0.3792397704
37	0.3792126595
38	0.3792015938
39	0.379193188
40	0.3791698293
41	0.3791563836
42	0.379139014
43	0.3791280849
44	0.3791101466
45	0.3790853935
46	0.3790729352
47	0.379055118
48	0.3790384597
49	0.3790217867
50	0.3790002571
51	0.3789898004
52	0.3789734225
53	0.3789605084
54	0.378948681
55	0.3789325795
56	0.3789169621
57	0.3789036754
58	0.3788714419
59	0.3788685966
60	0.3788650182
61	0.3788481033
62	0.3788436103
63	0.3788280306
64	0.3788091203
65	0.3787931436
66	0.3787864509
67	0.3787634772
68	0.3787491041
69	0.3787329741
70	0.3787106851
71	0.3786971666
72	0.3786747256
73	0.3786548801
74	0.3786429613
75	0.3786306706
76	0.3786173231
77	0.3786075108
78	0.3785802222
79	0.378566815
80	0.3785537346
81	0.3785517795
82	0.3785455356
83	0.3785381062
84	0.378528018
85	0.3785157994
86	0.3784955737
87	0.3784873985
88	0.3784804787
89	0.3784605493
90	0.3784426733
91	0.3784347335
92	0.3784277043
93	0.3784204579
94	0.3784074021
95	0.3783943552
96	0.3783771047
97	0.3783694886
98	0.378362818
99	0.3783496818
100	0.3783353589
101	0.3783244081
102	0.378316588
103	0.3783052217
104	0.378285838
105	0.3782738658
106	0.3782613531
107	0.3782509507
108	0.3782480938
109	0.3782376635
110	0.3782242908
111	0.3782166948
112	0.3782102401
113	0.3781972798
114	0.3781822077
115	0.3781697651
116	0.3781631517
117	0.3781552861
118	0.3781490333
119	0.3781391116
120	0.3781281398
121	0.3781217022
122	0.3781174122
123	0.3781070937
124	0.3780958897
125	0.3780815869
126	0.3780615185
127	0.3780516771
128	0.3780395395
129	0.3780278363
130	0.3780190323
131	0.3780129678
132	0.3779987026
133	0.3779888624
134	0.3779775948
135	0.3779687006
136	0.3779639152
137	0.3779579937
138	0.3779529745
139	0.3779469491
140	0.3779430083
141	0.3779286393
142	0.3779199446
143	0.377917328
144	0.3779057644
145	0.3778930169
146	0.3778838487
147	0.3778768501
148	0.3778755059
149	0.3778597902
150	0.3778513724
151	0.3778463357
152	0.3778428253
153	0.3778337564
154	0.3778239799
155	0.3778173925
156	0.3777973613
157	0.3777912309
158	0.3777831694
159	0.3777695774
160	0.3777651845
161	0.3777598272
162	0.3777581738
163	0.3777515296
164	0.3777448776
165	0.3777369032
166	0.3777299962
167	0.3777214301
168	0.3777161474
169	0.3777094828
170	0.3777006725
171	0.3776991694
172	0.3776949278
173	0.3776837068
174	0.3776799774
175	0.3776667377
176	0.3776655393
177	0.3776562228
178	0.3776514992
179	0.3776464448
180	0.3776440709
181	0.3776366561
182	0.3776343427
183	0.3776267608
184	0.3776176005
185	0.3776043493
186	0.3775959997
187	0.3775918058
188	0.3775856786
189	0.377580347
190	0.3775791588
191	0.3775768194
192	0.3775636354
193	0.377560614
194	0.3775552747
195	0.3775499725
196	0.3775388258
197	0.3775316328
198	0.3775285366
199	0.3775237152
200	0.3775198126
201	0.3775198112
202	0.3775121624
203	0.3775076976
204	0.3775046165
205	0.3775012114
206	0.3774958188
207	0.377490841
208	0.37747941
209	0.3774772175
210	0.3774644571
211	0.3774615736
212	0.3774510189
213	0.377449479
214	0.3774449632
215	0.3774414566
216	0.3774289796
217	0.37742061
218	0.3774150265
219	0.3774116462
220	0.3774044039
221	0.3773982339
222	0.3773926445
223	0.3773887961
224	0.3773812738
225	0.377370283
226	0.3773657793
227	0.377363443
228	0.3773576305
229	0.3773539465
230	0.3773499268
231	0.3773448191
232	0.3773412091
233	0.3773355848
234	0.3773286796
235	0.3773231268
236	0.3773158336
237	0.3773111605
238	0.377305143
239	0.3772995276
240	0.3772957866
241	0.3772835523
242	0.3772783849
243	0.3772730665
244	0.3772717589
245	0.3772663087
246	0.3772558603
247	0.3772506978
248	0.3772439623
249	0.3772367705
250	0.3772362842
251	0.377225391
252	0.3772209322
253	0.3772168466
254	0.3772114842
255	0.3772079364
256	0.3772033928
257	0.3771978533
258	0.3771925747
259	0.3771918795
260	0.3771824734
261	0.3771766819
262	0.3771714144
263	0.3771646876
264	0.3771597366
265	0.3771562492
266	0.3771544674
267	0.3771509703
268	0.3771467856
269	0.3771433419
270	0.3771351261
271	0.3771303049
272	0.3771228872
273	0.3771176969
274	0.3771130381
275	0.3771093293
276	0.3771070627
277	0.3771051335
278	0.3770987156
279	0.3770942746
280	0.3770869236
281	0.3770777831
282	0.3770707656
283	0.377068034
284	0.3770635287
285	0.3770610602
286	0.377060373
287	0.3770593623
288	0.3770512988
289	0.3770466278
290	0.3770459169
291	0.3770377438
292	0.3770327611
293	0.3770247834
294	0.3770228739
295	0.3770178644
296	0.377004387
297	0.3769991647
298	0.3769977119
299	0.3769932183
300	0.3769874362
301	0.3769833279
302	0.3769808444
303	0.376978434
304	0.3769726471
305	0.3769660888
306	0.3769605445
307	0.3769567225
308	0.3769507449
309	0.3769384955
310	0.3769353977
311	0.3769302505
312	0.3769210571
313	0.3769166175
314	0.3769131974
315	0.3769094188
316	0.3769076988
317	0.3768998375
318	0.3768987377
319	0.3768915772
320	0.3768825562
321	0.376878863
322	0.3768750762
323	0.3768717814
324	0.376865826
325	0.3768647661
326	0.3768636833
327	0.3768553795
328	0.376852144
329	0.3768507466
330	0.3768474837
331	0.3768382796
332	0.3768368903
333	0.3768336255
334	0.3768280681
335	0.3768225339
336	0.3768163873
337	0.3768108234
338	0.3768081141
339	0.3768056937
340	0.376801516
341	0.3767937456
342	0.3767909896
343	0.376788578
344	0.376784261
345	0.3767795728
346	0.3767739911
347	0.3767718636
348	0.3767688224
349	0.3767649279
350	0.3767644998
351	0.3767575954
352	0.3767532018
353	0.376747806
354	0.3767448307
355	0.376741388
356	0.3767389393
357	0.3767364564
358	0.3767344304
359	0.3767320442
360	0.3767272361
361	0.3767250606
362	0.3767157242
363	0.3767144379
364	0.3767125853
365	0.3767083224
366	0.3767058732
367	0.3767022419
368	0.3766989838
369	0.3766962584
370	0.3766926761
371	0.3766915226
372	0.3766855443
373	0.3766818277
374	0.3766783465
375	0.3766754242
376	0.3766713375
377	0.3766677143
378	0.376661195
379	0.3766590704
380	0.376653202
381	0.3766436615
382	0.3766420193
383	0.376637761
384	0.3766327964
385	0.3766277001
386	0.3766238122
387	0.3766187697
388	0.3766156216
389	0.3766144143
390	0.3766106312
391	0.3766089596
392	0.3766049561
393	0.3766002648
394	0.3765933496
395	0.3765910073
396	0.3765897615
397	0.3765890432
398	0.3765877435
399	0.3765822092
400	0.3765795797
401	0.3765750795
402	0.3765717801
403	0.3765676578
404	0.3765629081
405	0.3765618579
406	0.3765585027
407	0.3765554434
408	0.3765518053
409	0.376550089
410	0.3765467921
411	0.3765449813
412	0.3765408198
413	0.3765374754
414	0.3765355027
415	0.3765334342
416	0.3765280932
417	0.3765252309
418	0.3765236179
419	0.3765208361
420	0.3765179309
421	0.3765145496
422	0.3765110373
423	0.3765074567
424	0.3765033334
425	0.3765021303
426	0.3764990454
427	0.3764957337
428	0.3764943406
429	0.3764926054
430	0.3764895691
431	0.3764853995
432	0.3764830626
433	0.3764774743
434	0.3764753788
435	0.3764732227
436	0.3764673543
437	0.3764617631
438	0.3764606627
439	0.3764545947
440	0.3764507161
441	0.3764475651
442	0.3764424239
443	0.3764391265
444	0.3764346255
445	0.3764327011
446	0.3764282431
447	0.3764223953
448	0.3764152088
449	0.3764133079
450	0.3764114397
451	0.376404585
452	0.3764036929
453	0.376400963
454	0.3763981801
455	0.3763957902
456	0.376394098
457	0.3763919887
458	0.3763907869
459	0.3763880546
460	0.3763856185
461	0.3763840238
462	0.3763792534
463	0.3763759479
464	0.3763745722
465	0.3763708367
466	0.3763683874
467	0.37636478
